input,output
There are many countries in the world that hardly qualify as pluralistic democracies. | There are many countries in the world that hardly qualify as pluralistic democracies,arguing
But the consequences of the divorce between the US and the international community in the Kyoto Protocol case could be even more serious. | could be even more serious,sentiment
"The break with Kyoto had been a pre-attack marker in the Bush administration, for having demonstrated the latter's absolute indifference to the opinion of even its closest allies, such as Germany, France, the United Kingdom, and Japan. | absolute indifference to the opinion of even its closest allies, such as Germany, France, the United Kingdom, and Japan",sentiment
"The Enron scandal is already taking a significant political toll of the Bush team, which will tend to increase. | is already taking a significant political toll of the Bush team",arguing
"The first problem pointed out by critics is that Bush has created a new concept, that of ""greenhouse gas intensity, ""which could be defined as the volume of gas emissions divided by GDP. | The first problem pointed out by critics is",sentiment
"After the World Trade Center and Pentagon tragedies, there were some who thought that Washington's rapprochement with its traditional partners was inevitable, with the goal of defeating the threat of international terrorism. | rapprochement with",sentiment
"The second conclusion is that, contrary to what some optimists were predicting after 11 September, Bush seems to have decided to stick to a course of arrogant unilateralism when conducting his foreign policy. | seems to have decided to stick to a course of arrogant unilateralism when conducting his foreign policy",sentiment
"Seven months after having rejected the Kyoto Protocol because he considered it to be without scientific basis, detrimental to US economic interests, and unfair in not obliging medium-sized nations (like Brazil and India) to reduce their gas emissions in the same proportion as that imposed on industrialized countries, Bush made public the plan that, he promised, would not have any of the defects of the Kyoto Protocol and would achieve the same, if not better, results. | plan",intention
"The first is that, once again, the current US administration, faced with a controversial issue, is situating itself alongside the explicit interests of companies in the energy sector. | The first is that, once again, the current US administration, faced with a controversial issue, is situating itself alongside the explicit interests of companies in the energy sector",arguing
"More important are two indisputable conclusions, both potentially embarrassing to the Bush administration and extremely threatening to the world as a whole. | embarrassing",sentiment
"After the World Trade Center and Pentagon tragedies, there were some who thought that Washington's rapprochement with its traditional partners was inevitable, with the goal of defeating the threat of international terrorism. | goal of",intention
"Therefore, that so-called 18 percent reduction in greenhouse gas emissions could, in fact, represent a real increase in the absolute quantity of such gases. | Therefore, that so-called 18 percent reduction in greenhouse gas emissions could, in fact, represent a real increase in the absolute quantity of such gases",arguing
"However, after a brief period of shock, Bush resumed his solitary road, as he clearly demonstrated in his State of the Union speech, in which he threatened the ""Axis of Evil ""countries (Iran, Iraq, and North Korea) without consulting the Europeans and Japanese, who do not necessarily agree with the appropriateness of antagonizing the governments of those nations. | resumed his solitary road, as he clearly demonstrated in his State of the Union speech",arguing
"Seven months after having rejected the Kyoto Protocol because he considered it to be without scientific basis, detrimental to US economic interests, and unfair in not obliging medium-sized nations (like Brazil and India) to reduce their gas emissions in the same proportion as that imposed on industrialized countries, Bush made public the plan that, he promised, would not have any of the defects of the Kyoto Protocol and would achieve the same, if not better, results. | considered it to be without scientific basis",arguing
Some environmental entities calculate that Bush's plan will lead to the US's emitting! | plan,intention
"More important are two indisputable conclusions, both potentially embarrassing to the Bush administration and extremely threatening to the world as a whole. | extremely threatening to the world as a whole",arguing sentiment
"The announcement of a plan that is supposedly an alternative to the Kyoto Protocol, but which in practice rejects it in a way that cannot be taken seriously by the countries who committed themselves to it (among which is Brazil), only deserves rejection in response and to provoke in retrospect an enormous concern about what the only world superpower intends in future. | enormous concern about",sentiment
"The Enron scandal is already taking a significant political toll of the Bush team, which will tend to increase. | which will tend to increase",arguing
"Seven months after having rejected the Kyoto Protocol because he considered it to be without scientific basis, detrimental to US economic interests, and unfair in not obliging medium-sized nations (like Brazil and India) to reduce their gas emissions in the same proportion as that imposed on industrialized countries, Bush made public the plan that, he promised, would not have any of the defects of the Kyoto Protocol and would achieve the same, if not better, results. | having rejected",sentiment
"But what the US Government does not emphasize is that the natural tendency of the economy is for services to increase their participation in the GDP, and for industrial activities, which are the biggest energy consumers, to diminish. | is for services to increase their participation in the GDP, and for industrial activities, which are the biggest energy consumers, to diminish",arguing
"However, after a brief period of shock, Bush resumed his solitary road, as he clearly demonstrated in his State of the Union speech, in which he threatened the ""Axis of Evil ""countries (Iran, Iraq, and North Korea) without consulting the Europeans and Japanese, who do not necessarily agree with the appropriateness of antagonizing the governments of those nations. | do not necessarily agree with",agreement
"The announcement of a plan that is supposedly an alternative to the Kyoto Protocol, but which in practice rejects it in a way that cannot be taken seriously by the countries who committed themselves to it (among which is Brazil), only deserves rejection in response and to provoke in retrospect an enormous concern about what the only world superpower intends in future. | committed themselves to",intention
"After the World Trade Center and Pentagon tragedies, there were some who thought that Washington's rapprochement with its traditional partners was inevitable, with the goal of defeating the threat of international terrorism. | thought that Washington's rapprochement with its traditional partners was inevitable",arguing
The long- standing ties Bush and several of his leading advisors have with these companies allow us to suppose an ultimate conflict of interests that would only increase with the government's persistent alignment with their goals. | goals,intention
"Basically, the Bush plan makes the reduction in pollution gas emissions conditional on the Gross Domestic Product (GDP) growth rate. | plan",intention
"More important are two indisputable conclusions, both potentially embarrassing to the Bush administration and extremely threatening to the world as a whole. | More important are",arguing
"The announcement of a plan that is supposedly an alternative to the Kyoto Protocol, but which in practice rejects it in a way that cannot be taken seriously by the countries who committed themselves to it (among which is Brazil), only deserves rejection in response and to provoke in retrospect an enormous concern about what the only world superpower intends in future. | intends",intention
"The announcement of a plan that is supposedly an alternative to the Kyoto Protocol, but which in practice rejects it in a way that cannot be taken seriously by the countries who committed themselves to it (among which is Brazil), only deserves rejection in response and to provoke in retrospect an enormous concern about what the only world superpower intends in future. | only deserves rejection in response",sentiment
"TOKYO, Feb 15 (AFP) - Japan Friday welcomed President George W. Bush's alternative to the Kyoto Protocol on reducing greenhouse gases, but said it will press on with ratification of the pact the US rejected. | rejected",agreement sentiment
"The Kyoto pact, which Bush Thursday called ""an unsound international treaty "", commits countries to cut their emissions of greenhouse gases to below 1990 levels by a timetable of 2008-2012 | an unsound international treaty",sentiment arguing
"The minister however said Japan will press on with ratification of the 1997 Kyoto pact on global warming, which environment ministers from 160 countries -- with the exception of the United States -- agreed on in Morocco last November after marathon talks. | agreed on",agreement
"Bush's plan, which he revealed in a speech Thursday night, would slow emissions growth by reducing ""greenhouse gas intensity ""-- the ratio of emissions to economic output -- by a target of 18 percent over 10 years. | plan",intention
"TOKYO, Feb 15 (AFP) - Japan Friday welcomed President George W. Bush's alternative to the Kyoto Protocol on reducing greenhouse gases, but said it will press on with ratification of the pact the US rejected. | will press on with",intention
"""The government of Japan appreciates the announcement of climate change policy by the government of the United States on February 14 as a demonstration of its serious intention to address the issue of global warming, ""Foreign Minister Yoriko Kawaguchi said in a statement. | serious intention to",intention
"The minister however said Japan will press on with ratification of the 1997 Kyoto pact on global warming, which environment ministers from 160 countries -- with the exception of the United States -- agreed on in Morocco last November after marathon talks. | will press on with",intention
"TOKYO, Feb 15 (AFP) - Japan Friday welcomed President George W. Bush's alternative to the Kyoto Protocol on reducing greenhouse gases, but said it will press on with ratification of the pact the US rejected. | welcomed",sentiment
"""The government of Japan appreciates the announcement of climate change policy by the government of the United States on February 14 as a demonstration of its serious intention to address the issue of global warming, ""Foreign Minister Yoriko Kawaguchi said in a statement. | appreciates",sentiment
"""While the government of Japan intends to take all necessary steps to ensure the approval by the Diet of the Kyoto Protocol as well as the enactment of the required legislation during the current Diet session...it is important to establish a common rule in future in which all countries including the United States and developing countries participate, ""the statement said. | intends to",intention
"The Ministry of Foreign Affairs and Trade said in a statement that ""the Government of the Republic of Korea appreciates continued interest shown by the Government of the United States in climate change and their efforts in presenting on February 14 a new initiative to address this issue which is one of the greatest challenges humankind faces in the 21st century."" | interest shown by the Government of the United States in",sentiment
The U.S. administration led by President George W. Bush rejected the Protocol early last year and recently announced a new policy on climate change which aims to reduce greenhouse gas emissions relative to Gross Domestic Product or economic activities. | rejected,sentiment
"""The Korean Government notes that the new U.S. Government initiative adopts a flexible and gradual approach to reducing greenhouse gas emissions, and that it takes into consideration the concerns of developing countries, ""the statement said | concerns",sentiment
"Before the Sept. 11 terrorist attacks in the United States, the Bush administration had been severely blamed in the international community for rejecting the Kyoto Protocol. | had been severely blamed in the international community for rejecting the Kyoto Protocol",sentiment
"The Ministry of Foreign Affairs and Trade said in a statement that ""the Government of the Republic of Korea appreciates continued interest shown by the Government of the United States in climate change and their efforts in presenting on February 14 a new initiative to address this issue which is one of the greatest challenges humankind faces in the 21st century."" | appreciates continued interest shown by the Government of the United States in climate change and their efforts in presenting on February 14 a new initiative to address this issue",sentiment
"The Ministry of Foreign Affairs and Trade said in a statement that ""the Government of the Republic of Korea appreciates continued interest shown by the Government of the United States in climate change and their efforts in presenting on February 14 a new initiative to address this issue which is one of the greatest challenges humankind faces in the 21st century."" | is one of the greatest challenges humankind faces in the 21st century",arguing
"18 (Yonhap) -- The government on Monday announced its position on U.S. President George W. Bush's new policy to control greenhouse gas emissions that he wants discussed internationally along with the Kyoto Protocol, an international treaty adopted in 1997 to control greenhouse gas emissions. | position on",arguing
"18 (Yonhap) -- The government on Monday announced its position on U.S. President George W. Bush's new policy to control greenhouse gas emissions that he wants discussed internationally along with the Kyoto Protocol, an international treaty adopted in 1997 to control greenhouse gas emissions. | wants",sentiment
"The! Korean government is of the view that in order for the U.S. initiative to be discussed in more detail in future international fora, greater elaboration is needed, including concrete methods to establish the levels of greenhouse gas intensity, it continued. | is of the view that in order for the U.S. initiative to be discussed in more detail in future international fora, greater elaboration is needed, including concrete methods to establish the levels of greenhouse gas intensity",arguing
"""The government should provide domestic firms real aid like tax reductions and environmental technology development rather than abstractly recommend domestic firms promote energy efficiency and lower energy consumption, ""an industry source said. | should provide domestic firms real aid like tax reductions and environmental technology development",arguing
"Under this situation, the nation cannot possibly avoid pressures to match the cuts of advanced nations. | pressures to",sentiment
The Kyoto Protocol is an agreement to get 30 leading industrialized countries such as Japan and members of the European Union (EU) to lessen greenhouse gas emissions by amounts as high as 95 percent of levels in the 1990's. | an agreement,agreement
"If the protocol, which prescribes an obligatory reduction of greenhouse gases, is put into effect, the nation's export will be heavily damaged. | If the protocol, which prescribes an obligatory reduction of greenhouse gases, is put into effect, the nation's export will be heavily damaged",arguing
"The U.S. backed out of the agreement, saying its industries would be handicapped by stringent rules that developing countries could simply ignore. | its industries would be handicapped by stringent rules that developing countries could simply ignore",arguing sentiment
"If things go on like this, the government must transform the current industrial structure into an environment-friendly one and minimize industries which use a host of energy such as petrochemicals and cement manufacturing. | If things go on like this, the government must transform the current industrial structure into an environment-friendly one and minimize industries which use a host of energy such as petrochemicals and cement manufacturing",arguing
The government will have to pour a lot of money into businesses to promote energy efficiency. | will have to pour a lot of money into businesses to promote energy efficiency,arguing
"""The government should provide domestic firms real aid like tax reductions and environmental technology development rather than abstractly recommend domestic firms promote energy efficiency and lower energy consumption, ""an industry source said. | should provide domestic firms real aid like tax reductions and environmental technology development rather than abstractly recommend domestic firms promote energy efficiency and lower energy consumption",arguing
"The government and business circle expect the nation's exports to be damaged in direct and indirect ways from 2008, when advanced nations will begin to be regulated by the protocol. | expect the nation's exports to be damaged in direct and indirect ways from 2008",arguing
"The U.S. backed out of the agreement, saying its industries would be handicapped by stringent rules that developing countries could simply ignore. | backed out of",sentiment
"Taro Kono (39), son of former Foreign Minister Yohei Kono and twice elected lower house Liberal Democratic Party member, wrote a critical comment on the US president's speech before the Japanese Diet on 19 February. | critical comment",sentiment
"The United States says the CTBT is unacceptable; that nobody cares about the BWC; that there should not be a Kyoto Protocol; that US citizens have the right to own handguns; that land mines are necessary; that the SOFA needs no revision, just a change in application; and then we should attack Iraq together. | US citizens have the right to own handguns",arguing
"The President used the words'common values,'but is it really true? | but is it really true?",arguing
"The United States says the CTBT is unacceptable; that nobody cares about the BWC; that there should not be a Kyoto Protocol; that US citizens have the right to own handguns; that land mines are necessary; that the SOFA needs no revision, just a change in application; and then we should attack Iraq together. | needs no revision",arguing
"The United States says the CTBT is unacceptable; that nobody cares about the BWC; that there should not be a Kyoto Protocol; that US citizens have the right to own handguns; that land mines are necessary; that the SOFA needs no revision, just a change in application; and then we should attack Iraq together. | the CTBT is unacceptable; that nobody cares about the BWC; that there should not be a Kyoto Protocol; that US citizens have the right to own handguns; that land mines are necessary; that the SOFA needs no revision, just a change in application; and then we should attack Iraq together",arguing
"The United States says the CTBT is unacceptable; that nobody cares about the BWC; that there should not be a Kyoto Protocol; that US citizens have the right to own handguns; that land mines are necessary; that the SOFA needs no revision, just a change in application; and then we should attack Iraq together. | should attack",sentiment
"The United States says the CTBT is unacceptable; that nobody cares about the BWC; that there should not be a Kyoto Protocol; that US citizens have the right to own handguns; that land mines are necessary; that the SOFA needs no revision, just a change in application; and then we should attack Iraq together. | are necessary",arguing
"""During President Bush's speech, I thought of heckling;'What are you going to do with the Kyoto Protocol?'and'How about CTBT?'but I refrained. | thought of heckling",sentiment
"The United States says the CTBT is unacceptable; that nobody cares about the BWC; that there should not be a Kyoto Protocol; that US citizens have the right to own handguns; that land mines are necessary; that the SOFA needs no revision, just a change in application; and then we should attack Iraq together. | needs no revision, just a change in application",arguing
"In March 2001, the US administration opposed the protocol by saying that it contravenes US economic interests, a decision slammed by European Union countries at the time. | contravenes US economic interests",arguing
"Although developed countries are the world's main source of large-scale air pollution, Jordan's decision to sign the protocol is aimed at stressing its ""commitment towards the different international conventions, ""Juneidi said. | commitment towards",intention
"In March 2001, the US administration opposed the protocol by saying that it contravenes US economic interests, a decision slammed by European Union countries at the time. | slammed",sentiment
"With the signing of the protocol, he said, GCEP hopes to attract more funding to contribute to the international community's efforts in reducing greenhouse gases, which trap heat in the earth's atmosphere thus causing climate change. | hopes to",sentiment
"However, all Member States have to take their responsibility to ensure that they meet their burden-sharing targets."" | have to take their responsibility to ensure that they meet their burden-sharing targets",arguing
"With its decision to ratify the protocol at EU level, the European Union stays true to its ambition to enable the Kyoto Protocol to come into force by the World Summit on Sustainable Development in August/September 2002. | stays true to its ambition",sentiment
The scientific evidence on climate change is stronger than ever. | is stronger than ever,arguing
The European Commission strongly welcomes this decision. | strongly welcomes,sentiment
"Once again, the EU is exercising leadership in addressing this global environmental problem, as we have done in Bonn and Marrakech last year. | Once again, the EU is exercising leadership in addressing this global environmental problem, as we have done in Bonn and Marrakech last year",sentiment
"With its decision to ratify the protocol at EU level, the European Union stays true to its ambition to enable the Kyoto Protocol to come into force by the World Summit on Sustainable Development in August/September 2002. | decision to ratify",intention
Further proposals are in the pipeline. | proposals,sentiment
"Referring to President Bush's climate change plan for the US that he announced on 14 February the Commissioner noted: ""These proposals will not lead to a reduction of greenhouse gas emissions in the United States but allow a significant increase. | but allow a significant increase",arguing
"""Action to fight climate change is vital to achieve sustainable development, Mrs. Wallstrom added. | is vital to achieve sustainable development",arguing
"The Commissioner finally welcomed indications by Japan, New Zealand and Norway that they are preparing for ratification, and strongly called on others, notably Russia, to do the same. | strongly called on",sentiment
"All countries have to act, but the industrialised countries have to take the lead. | the industrialised countries have to take the lead",arguing
"By taking this decision, the EU has reaffirmed its commitment to pursuing multilateral solutions to issues of global concern. | By taking this decision, the EU has reaffirmed its commitment to pursuing multilateral solutions to issues of global concern",arguing
"We all know that even the targets in the Kyoto Protocol are only a first step if we want to prevent the severe consequences that climate change could have."" | We all know that even the targets in the Kyoto Protocol are only a first step if we want to prevent the severe consequences that climate change could have",arguing
"The Commissioner concluded by stressing the need for further EU emission reduction measures: ""The European Commission has already proposed measures to reduce emissions at the lowest economic cost, including an EC-wide emissions trading scheme to begin in 2005. | has already proposed",sentiment
Today the Council of EU environment ministers adopted the Commission's proposal for a decision to ratify the Kyoto Protocol. | adopted,sentiment
Today the Council of EU environment ministers adopted the Commission's proposal for a decision to ratify the Kyoto Protocol. | proposal for,sentiment
I am convinced that improving the environment through technological progress can actually enhance our competitiveness and economic growth. | can actually enhance our competitiveness and economic growth,sentiment
"We all know that even the targets in the Kyoto Protocol are only a first step if we want to prevent the severe consequences that climate change could have."" | want to prevent",sentiment
"The Commissioner also stated that she was grateful for the strong support received from the European Parliament to secure timely EU ratification, and pleased with the confirmation by the candidate countries that they are on track to ratify. | pleased with",sentiment
The EU continues to call for the United States to participate in the global framework for addressing climate change. | continues to call for,sentiment
"By taking this decision, the EU has reaffirmed its commitment to pursuing multilateral solutions to issues of global concern. | has reaffirmed",intention
"The decision also makes the Member States'greenhouse gas reduction commitments (the so-called ""Burden-Sharing Agreement "") agreed in June 1998 legally binding. | agreed",agreement
We can only tackle climate change effectively through a multi-lateral process. | We can only tackle climate change effectively through a multi-lateral process,arguing
"We continue to urge the United States to return to the Kyoto process."" | continue to urge",sentiment
I am very pleased that the Council has now approved the Kyoto Protocol thus enabling the EU to proceed with its ratification. | has now approved,sentiment
I am very pleased that the Council has now approved the Kyoto Protocol thus enabling the EU to proceed with its ratification. | am very pleased,sentiment
To protect our climate we will have to reduce emissions. | we will have to reduce emissions,arguing
"Referring to President Bush's climate change plan for the US that he announced on 14 February the Commissioner noted: ""These proposals will not lead to a reduction of greenhouse gas emissions in the United States but allow a significant increase. | will not lead to a reduction of greenhouse gas emissions in the United States",arguing
"""The fact that at least 25-30 industrialised countries are likely to ratify the Protocol within this year is a clear signal that the Kyoto Protocol, with its legally binding targets and timetables, is the only effective international framework for combating global warming."" | The fact that at least 25-30 industrialised countries are likely to ratify the Protocol within this year is a clear signal that the Kyoto Protocol, with its legally binding targets and timetables, is the only effective international framework for combating global warming",arguing
"Environment Commissioner Margot Wallstrom stated: ""This is indeed a good day for the climate and for sustainable development. | This is indeed a good day for",sentiment
"The Commissioner finally welcomed indications by Japan, New Zealand and Norway that they are preparing for ratification, and strongly called on others, notably Russia, to do the same. | welcomed",sentiment
"The President of the European Commission Romano Prodi said: ""Today is an historical moment for European efforts to combat climate change. | Today is an historical moment for European efforts to combat climate change",sentiment
The Kyoto Protocol is a first major step. | is a first major step,sentiment
This must now be ratified by all the parties and will shortly enter into force. | must now be ratified by all the parties,arguing
"In its last report, the IPCC [Intergovernmental Panel on Climate Change] called for rapid and decisive action to at least avert the most serious consequences of climate change. | called for",sentiment
The dominant role of the European climate protection policy has benefits for our economy. | has benefits for our economy,sentiment
"If the effects of climate change were not so devastating and our action were to be guided by economic competition, we Europeans could welcome the fact that the United States is not committing itself to an ambitious climate protection program, in so far as the technologies in the field of energy efficiency and renewable energy are the technologies of the future. | could welcome",sentiment
"If the effects of climate change were not so devastating and our action were to be guided by economic competition, we Europeans could welcome the fact that the United States is not committing itself to an ambitious climate protection program, in so far as the technologies in the field of energy efficiency and renewable energy are the technologies of the future. | so devastating",sentiment
US reticence is not therefore a reason for us to reduce our climate protection efforts. | is not therefore a reason for us to reduce our climate protection efforts,arguing
"However, all the parties repeated with insistence that world climate protection cannot be effective unless the United States takes measures that are comparable to these taken by Europe and Japan. | repeated with insistence that world climate protection cannot be effective unless the United States takes measures that are comparable to these taken by Europe and Japan",arguing
Even today it is difficult to find buyers outside the United States for the fuel-guzzling cars of the US automobile industry. | fuel-guzzling,sentiment
"The average global temperature will increase by 5.8d C by 2100, sea levels will rise by up to 90 cm over the same period, and there will be an increasing number of hurricanes with ever more serious consequences, while man and nature will have to cope with a shift in climate and rainfall zones the like of which has never been seen before. | The average global temperature will increase by 5.8d C by 2100, sea levels will rise by up to 90 cm over the same period, and there will be an increasing number of hurricanes with ever more serious consequences, while man and nature will have to cope with a shift in climate and rainfall zones the like of which has never been seen before",sentiment
"At our instigation, on 4 March EU environment ministers therefore called on the United States to ""assume its responsibilities under the framework agreement on climate change, ""that is to stabilize greenhouse gas emissions at 1990 levels and strengthen domestic actions to bring them into line with the level of effort accepted by the industrial countries in application of the Kyoto Protocol. | agreement",agreement
"Although there is a certain satisfaction at seeing President Bush recognize the need to fight climate change, that must not in any way conceal the extreme weakness of what he announced. | must not in any way conceal the extreme weakness of what he announced",arguing
"At our instigation, on 4 March EU environment ministers therefore called on the United States to ""assume its responsibilities under the framework agreement on climate change, ""that is to stabilize greenhouse gas emissions at 1990 levels and strengthen domestic actions to bring them into line with the level of effort accepted by the industrial countries in application of the Kyoto Protocol. | At our instigation, on 4 March EU environment ministers therefore called on the United States to ""assume its responsibilities under the framework agreement on climate change",arguing
"It should be remembered that after Bush described the Kyoto Protocol as ""fundamentally flawed ""international negotiations on climate protection almost collapsed. | It should be remembered that after Bush described the Kyoto Protocol as ""fundamentally flawed ""international negotiations on climate protection almost collapsed",sentiment arguing
Many studies show that an active policy of climate protection is not in any way contrary to a policy of full employment. | is not in any way contrary to a policy of full employment,arguing
We now know that the US withdrawal did not stop the world community from deepening this important multilateral agreement for combating climate change. | deepening this important multilateral agreement for,agreement
This can hardly be described as ambitious as a 15 percent increase in energy efficiency was in any event expected given present productivity levels. | can hardly be described as ambitious,sentiment
The warnings by climate experts went unheeded in the US climate protection program. | The warnings by climate experts went unheeded in,sentiment
"Although there is a certain satisfaction at seeing President Bush recognize the need to fight climate change, that must not in any way conceal the extreme weakness of what he announced. | the extreme weakness of",sentiment
"In its last report, the IPCC [Intergovernmental Panel on Climate Change] called for rapid and decisive action to at least avert the most serious consequences of climate change. | called for rapid and decisive action to at least avert the most serious consequences of climate change",arguing
We hope that the United States will come to realize that an active climate protection policy is not only necessary for environmental policy but is also an excellent opportunity to modernize industrial society. | is not only necessary for environmental policy but is also an excellent opportunity to modernize industrial society,arguing
The return of the United States to the system must remain our goal. | goal,intention
The door remains wide open for the United States to return to the Kyoto process: The biggest emitter of greenhouse gases cannot be relieved of its responsibilities for global climate protection. | The door remains wide open for the United States to return to the Kyoto process,arguing
The warnings by climate experts went unheeded in the US climate protection program. | warnings,sentiment
"The European Union played a dominant role in these negotiations and the community of states concluded, at the Bonn and Marrakech conferences of July and October last year, an agreement that sets out how to implement the Kyoto Protocol and provides for an original mechanism for respecting the reduction obligations that could possibly serve as a model for other agreements and that suggests a possible strengthening of international institutional structures in the environmental field. | agreements",agreement
"In Europe, the council of environment ministers concluded a formal political agreement on 4 March on the decision to ratify the Kyoto Protocol before 1 June this year. | decision to",intention
"Although there is a certain satisfaction at seeing President Bush recognize the need to fight climate change, that must not in any way conceal the extreme weakness of what he announced. | the need to",arguing
The door remains wide open for the United States to return to the Kyoto process: The biggest emitter of greenhouse gases cannot be relieved of its responsibilities for global climate protection. | cannot be relieved of its responsibilities for global climate protection,arguing
The door remains wide open for the United States to return to the Kyoto process: The biggest emitter of greenhouse gases cannot be relieved of its responsibilities for global climate protection. | The biggest emitter of greenhouse gases,sentiment
The dominant role of the European climate protection policy has benefits for our economy. | The dominant role of the European climate protection policy has benefits for our economy,arguing
"The United States, the world's biggest emitter of greenhouse gases (25 percent of global emissions) withdrew from an international agreement that, for the first time, set binding targets for developed countries for climate protection. | for the first time, set binding targets for developed countries for climate protection",sentiment
Researchers have shown that without a determined policy on climate coordinated at international level the consequences of climate change will be dramatic. | without a determined policy on climate coordinated at international level the consequences of climate change will be dramatic,arguing
"In addition, if the US economy continues to grow, the increased energy efficiency will be cancelled out or more than cancelled out. | In addition, if the US economy continues to grow, the increased energy efficiency will be cancelled out or more than cancelled out",arguing
By implementing our European and national climate protection programs we will succeed in creating several hundred thousand new jobs by 2010. | By implementing our European and national climate protection programs we will succeed in creating several hundred thousand new jobs by 2010,arguing
We hope that the United States will come to realize that an active climate protection policy is not only necessary for environmental policy but is also an excellent opportunity to modernize industrial society. | hope,sentiment
Recent weeks have seen important developments on both sides of the Atlantic for the policy pursued in combating climate change. | important developments on both sides of the Atlantic for the policy pursued in combating climate change,arguing
Scientists estimate that the industrialized countries must reduce their emissions to around 70 percent by 2020 to maintain climate change at an acceptable level. | must reduce their emissions to around 70 percent by 2020 to maintain climate change at an acceptable level,arguing
"If the effects of climate change were not so devastating and our action were to be guided by economic competition, we Europeans could welcome the fact that the United States is not committing itself to an ambitious climate protection program, in so far as the technologies in the field of energy efficiency and renewable energy are the technologies of the future. | are the technologies of the future",arguing
"If the effects of climate change were not so devastating and our action were to be guided by economic competition, we Europeans could welcome the fact that the United States is not committing itself to an ambitious climate protection program, in so far as the technologies in the field of energy efficiency and renewable energy are the technologies of the future. | If the effects of climate change were not so devastating and our action were to be guided by economic competition, we Europeans could welcome the fact that the United States is not committing itself to an ambitious climate protection program, in so far as the technologies in the field of energy efficiency and renewable energy are the technologies of the future",arguing
"By comparison, respect for the Kyoto Protocol requires the EU to reduce its emissions by 8 percent compared with 1990, Japan by 6 percent, and the United States by 7 percent, a figure accepted by President Clinton in 1997. | respect",sentiment
"Unfortunately, the recent US climate protection program falls far short of meeting such expectations. | falls far short of meeting such expectations",sentiment
"""Instead of making itself the champion of the global fight against the greenhouse effect, the United States is moving in exactly the opposite direction from that followed by the rest of the international community with the Kyoto Protocol, ""according to Greenpeace. | is moving in exactly the opposite direction from that followed by the rest of the international community with the Kyoto Protocol",sentiment
"""A Valentine's Day gift for the polluters.""Carl Pope, the director of the Sierra Club, one of the major US environmental protection associations, does not mince his words when describing the US plan to replace the Kyoto Protocol. | A Valentine's Day gift for the polluters",sentiment
"The US President asserted, moreover, his determination to win developing countries over to his plan, stating that the US approach would give them a ""yardstick for progress on climate changes which recognizes their right to economic development."" | determination to",intention sentiment
"And it would be irresponsible to absolve them from shouldering some of the shared obligations ""in the fight against global warming. | it would be irresponsible",arguing
"The US President asserted, moreover, his determination to win developing countries over to his plan, stating that the US approach would give them a ""yardstick for progress on climate changes which recognizes their right to economic development."" | recognizes their right to economic development",arguing
"According to the White House, this should make it possible to reduce ""the intensity of greenhouse gas emission generated by the US economy ""by 18% over the next 10 years, an objective described by the Bush Administration as ""comparable ""to that imposed by the Kyoto Protocol. | comparable ""to that imposed by the Kyoto Protocol",arguing
"Presented Thursday 14 February by President George W. Bush, this alternative plan for slowing down global warming moves away from the binding measures of implementation of the Kyoto Protocol, recently approved by more than 170 countries in Marrakech, but rejected in March 2001 by President Bush, who deemed it harmful to the US economy and reproached it for imposing constraints on industrialized countries only. | reproached it for imposing constraints on industrialized countries only",sentiment
"""But I have the intention of working with nations, particularly developing nations, to convince them that a better approach exists, ""he said. | have the intention of",intention
"He asserted, in an allusion to the binding objectives of the Kyoto Protocol, that it would be ""unjust and counterproductive to condemn developing countries to weak or even nonexistant economic growth by insisting that they adopt unrealistic greenhouse gas reduction targets."" | unrealistic",sentiment
"Philip Clapp, president of the National Environment Trust, sums up well the general thrust of the reaction of environmental movements: ""There is no reason at all to believe that the polluters are suddenly going to become reasonable."" | There is no reason at all to believe that the polluters are suddenly going to become reasonable",arguing sentiment
This proposal places no obligation whatsoever on industrialists and is based on voluntary measures and tax incentives. | places no obligation whatsoever on industrialists and is based on voluntary measures and tax incentives,sentiment
"Presented Thursday 14 February by President George W. Bush, this alternative plan for slowing down global warming moves away from the binding measures of implementation of the Kyoto Protocol, recently approved by more than 170 countries in Marrakech, but rejected in March 2001 by President Bush, who deemed it harmful to the US economy and reproached it for imposing constraints on industrialized countries only. | rejected",sentiment
"Presented Thursday 14 February by President George W. Bush, this alternative plan for slowing down global warming moves away from the binding measures of implementation of the Kyoto Protocol, recently approved by more than 170 countries in Marrakech, but rejected in March 2001 by President Bush, who deemed it harmful to the US economy and reproached it for imposing constraints on industrialized countries only. | deemed it harmful to the US economy",arguing sentiment
"He asserted, in an allusion to the binding objectives of the Kyoto Protocol, that it would be ""unjust and counterproductive to condemn developing countries to weak or even nonexistant economic growth by insisting that they adopt unrealistic greenhouse gas reduction targets."" | objectives",intention
"Contrary to the preceding one, the plan proposed by Washington Thursday thus no longer has any binding procedure and is based on voluntary measures and tax incentives. | the plan proposed",intention
"For the moment Mr. Bush simply proposes to curb the increase in harmful gas emissions and is counting on the good will of US industrialists, who account for 36% of the greenhouse gas produced by industrialized countries (as opposed to 31.6% for Europe). | proposes to",intention
"For the moment Mr. Bush simply proposes to curb the increase in harmful gas emissions and is counting on the good will of US industrialists, who account for 36% of the greenhouse gas produced by industrialized countries (as opposed to 31.6% for Europe). | who account for 36% of the greenhouse gas produced by industrialized countries (as opposed to 31.6% for Europe)",sentiment
