input,output
arguing | There are many countries in the world that hardly qualify as pluralistic democracies. | There are many countries in the world that hardly qualify as pluralistic democracies,medium
"arguing | While Israel rejects the EU plan for political and economic reasons, the EU affirms its position of not recognizing the Israeli settlements in the Occupied Palestinian Territory as a legitimate part of Israel. | position of not recognizing the Israeli settlements in the Occupied Palestinian Territory as a legitimate part of Israel",medium high
"sentiment | Although High Contracting Parties to the Convention have affirmed the Convention's de jure applicability to the Occupied Palestinian Territory, including East Jerusalem, Israel maintains its refusal to respect its obligations as an Occupying Power, which would include the dismantling of its illegal settlements in that Territory in addition to not exporting any products from them. | Although High Contracting Parties to the Convention have affirmed the Convention's de jure applicability to the Occupied Palestinian Territory, including East Jerusalem, Israel maintains its refusal to respect its obligations as an Occupying Power, which would include the dismantling of its illegal settlements in that Territory in addition to not exporting any products from them",medium
"agreement | Although High Contracting Parties to the Convention have affirmed the Convention's de jure applicability to the Occupied Palestinian Territory, including East Jerusalem, Israel maintains its refusal to respect its obligations as an Occupying Power, which would include the dismantling of its illegal settlements in that Territory in addition to not exporting any products from them. | have affirmed",low medium
"sentiment | And while the Israeli settlement products only amount to US $100 million of the US $8 billion Israel gains annually from its exports to Europe, Israeli officials have expressed their worry over the committee's deliberations. | worry over",medium
"sentiment | They said fighting for the settlers who had occupied the Palestinian lands was by no means a defensive act, and was merely part of the criminal policies of Israel. | was by no means a defensive act, and was merely part of the criminal policies of",high
sentiment | Israeli Parliament Speaker Slams Zionist Occupation | Slams,high
"sentiment | In an interview with the Qatari Al Jazeera television network, Burg denounced the policy, much to the displeasure of Israeli officials and right-wing MPs. | denounced",high
"sentiment | In an interview with the Qatari Al Jazeera television network, Burg denounced the policy, much to the displeasure of Israeli officials and right-wing MPs. | much to the displeasure of",high
arguing | He repeatedly said that the occupation of the Palestinian territories could lead to corruption in Israel and would only create scandals for the regime. | would only create scandals for the regime,medium high
agreement | Earlier this week some 50 Israeli army officers were reported to have been on strike and refused to attack Palestinian ruled areas in protest of the occupation policies of the Zionist regime. | refused to,medium
sentiment | Earlier this week some 50 Israeli army officers were reported to have been on strike and refused to attack Palestinian ruled areas in protest of the occupation policies of the Zionist regime. | refused to attack Palestinian ruled areas in protest of,medium high
"arguing | They said fighting for the settlers who had occupied the Palestinian lands was by no means a defensive act, and was merely part of the criminal policies of Israel. | was by no means a defensive act",high
"sentiment | She knows for certain that this occupation and the settlements, which the Israeli government refuses to remove, represent the only major obstacle to peace. | refuses to",medium high
"arguing | She knows for certain that this occupation and the settlements, which the Israeli government refuses to remove, represent the only major obstacle to peace. | knows for certain that this occupation and the settlements, which the Israeli government refuses to remove, represent the only major obstacle to peace",medium
arguing | The US national security adviser should have called for ending the occupation and dismantling the settlements. | should have called for ending the occupation and dismantling the settlements,medium
"arguing | Moreover, the aim of these plans is to make the Palestinians yield to the dictates of the Israeli-US alliance, which seeks a mimic resolution to the Palestinian issue, which will perpetuate the occupation and facilitate the expansion of settlements. | is to make the Palestinians yield to the dictates of the Israeli-US alliance",medium
"arguing | For its part, the Palestinian leadership has always sought a just peace, not submission to plans aimed at writing off the Palestinian issue and swallowing the West Bank and Gaza Strip. | has always sought a just peace",medium high
arguing | It was only natural for US National Security Adviser condoleezza Rice to make statements yesterday after what can be described as a oneupmanship of rudeness was inaugurated in Washington last week. | It was only natural for US National Security Adviser condoleezza Rice to make statements yesterday,low medium
"arguing | The Palestinians did not attack Israeli cities, did not arrest thousands of Israeli citizens, and did not blockade their cities and villages, as was done to the Palestinian people without exception. | did not attack Israeli cities, did not arrest thousands of Israeli citizens, and did not blockade their cities and villages",medium
"sentiment | Even the most radical Israeli hardliners expressed the idea of the transfer more politely than the most senior, elected US bodies, which called on the Palestinians to give up the West Bank and look for what they called another homeland. | called on",low medium
"sentiment | The US president described him as a man of peace, thereby prompting the world's ridicule sometimes and denunciation at other times. | denunciation",high
"sentiment | If Rabbi Kahana were alive, he would have been regarded as a moderate person, compared to the US legislative branch. | If Rabbi Kahana were alive, he would have been regarded as a moderate person, compared to the US legislative branch",medium high
"arguing | These accords explicitly stipulated that Israeli forces must not enter the Palestinian-controlled areas, which are called Areas A and cover all the Palestinian cities, naturally including Ramallah. | explicitly stipulated that Israeli forces must not enter the Palestinian-controlled areas",medium high
"sentiment | The second fact is that if Washington is interested in democratic reforms in order to combat terrorism as it says it is, it should pressure the Israeli leadership to end its occupation of the Palestinian territories and stop its repressive practices against the Palestinian people. | it should pressure the Israeli leadership to end its occupation of the Palestinian territories and stop its repressive practices against the Palestinian people",medium high
"arguing | Rice is aware of the fact that President Yasir Arafat remained under siege in his headquarters in Ramallah for five months, imposed on him by the superior Israeli military in violation of all the accords that were signed by former Israeli governments and guaranteed by the United States. | is aware of the fact that President Yasir Arafat remained under siege in his headquarters in Ramallah for five months, imposed on him by the superior Israeli military in violation of all the accords that were signed by former Israeli governments and guaranteed by the United States",medium
"sentiment | She knows for certain that this occupation and the settlements, which the Israeli government refuses to remove, represent the only major obstacle to peace. | this occupation and the settlements, which the Israeli government refuses to remove, represent the only major obstacle to peace",medium high
"sentiment | However, she refrains from mentioning the elected Israeli leadership, which moved the Israeli army to occupy Palestinian cities, destroy homes over the heads of their owners, arrest thousands of innocent people, and carry out what many legal and international humanitarian circles described as war crimes or bloody massacres to say the least. | described as war crimes or bloody massacres",high
"sentiment | Moreover, the aim of these plans is to make the Palestinians yield to the dictates of the Israeli-US alliance, which seeks a mimic resolution to the Palestinian issue, which will perpetuate the occupation and facilitate the expansion of settlements. | which seeks a mimic resolution to the Palestinian issue, which will perpetuate the occupation and facilitate the expansion of settlements",medium
"sentiment | Moreover, the aim of these plans is to make the Palestinians yield to the dictates of the Israeli-US alliance, which seeks a mimic resolution to the Palestinian issue, which will perpetuate the occupation and facilitate the expansion of settlements. | the aim of these plans is to make the Palestinians yield to the dictates of the Israeli-US alliance",medium high
"sentiment | So, why do Rice and the US Administration launch campaigns against, and interfere in the affairs of, the Palestinian leadership? | launch campaigns against",medium high
sentiment | The US national security adviser should have called for ending the occupation and dismantling the settlements. | have called for,medium
"sentiment | These accords explicitly stipulated that Israeli forces must not enter the Palestinian-controlled areas, which are called Areas A and cover all the Palestinian cities, naturally including Ramallah. | These accords explicitly stipulated that Israeli forces must not enter the Palestinian-controlled areas",medium high
"arguing | The flagrant attack, which Condoleezza Rice launched on the Palestinian leadership yesterday, demonstrates how international dictatorship is practiced by the most powerful country on earth, which claims to be democratic and an advocate of nations'right to choose their leaders. | claims to be democratic and an advocate of nations'right to choose their leaders",medium high
"arguing | For its part, the Palestinian leadership has always sought a just peace, not submission to plans aimed at writing off the Palestinian issue and swallowing the West Bank and Gaza Strip. | has always sought a just peace, not submission to plans aimed at writing off the Palestinian issue and swallowing the West Bank and Gaza Strip",medium
"sentiment | The first is that the current Palestinian leadership represents the Palestinian people's will, political convictions, and national aspirations. | will",low medium
"sentiment | Yet, the Palestinian leadership is denounced and attacked while the Israeli prime minister is praised. | Yet, the Palestinian leadership is denounced and attacked while the Israeli prime minister is praised",medium high
"sentiment | Rice is aware of the fact that President Yasir Arafat remained under siege in his headquarters in Ramallah for five months, imposed on him by the superior Israeli military in violation of all the accords that were signed by former Israeli governments and guaranteed by the United States. | President Yasir Arafat remained under siege in his headquarters in Ramallah for five months, imposed on him by the superior Israeli military in violation of all the accords that were signed by former Israeli governments",high
"sentiment | So, why do Rice and the US Administration launch campaigns against, and interfere in the affairs of, the Palestinian leadership? | why do Rice and the US Administration launch campaigns against, and interfere in the affairs of, the Palestinian leadership",medium
"sentiment | Rice attacks the Palestinian leadership, which was democratically elected, as testified by international observers, including former US presidents. | attacks the Palestinian leadership, which was democratically elected, as testified by international observers, including former US presidents",high
"sentiment | The flagrant attack, which Condoleezza Rice launched on the Palestinian leadership yesterday, demonstrates how international dictatorship is practiced by the most powerful country on earth, which claims to be democratic and an advocate of nations'right to choose their leaders. | attack",high
"sentiment | For its part, the Palestinian leadership has always sought a just peace, not submission to plans aimed at writing off the Palestinian issue and swallowing the West Bank and Gaza Strip. | has always sought a just peace",medium high
"arguing | However, there are two facts that ought to be highlighted. | there are two facts that ought to be highlighted",low medium
"sentiment | The US president described him as a man of peace, thereby prompting the world's ridicule sometimes and denunciation at other times. | described him as a man of peace",medium high
"arguing | The first is that the current Palestinian leadership represents the Palestinian people's will, political convictions, and national aspirations. | political convictions",medium high
"sentiment | Rice is aware of the fact that President Yasir Arafat remained under siege in his headquarters in Ramallah for five months, imposed on him by the superior Israeli military in violation of all the accords that were signed by former Israeli governments and guaranteed by the United States. | Rice is aware of the fact that President Yasir Arafat remained under siege in his headquarters in Ramallah for five months, imposed on him by the superior Israeli military in violation of all the accords that were signed by former Israeli governments and guaranteed by the United States",medium high
"arguing | If Rabbi Kahana were alive, he would have been regarded as a moderate person, compared to the US legislative branch. | would have been regarded as a moderate person, compared to the US legislative branch",low medium
"arguing | The flagrant attack, which Condoleezza Rice launched on the Palestinian leadership yesterday, demonstrates how international dictatorship is practiced by the most powerful country on earth, which claims to be democratic and an advocate of nations'right to choose their leaders. | demonstrates how international dictatorship is practiced by the most powerful country on earth",medium high
sentiment | The US legislative branch even outbade the Israeli right wing. | even outbade the Israeli right wing,low medium
intention | The Congress'resolutions and the statements made by leaders and members of the Congress revealed the US Administration's harbored intentions. | intentions,low
"sentiment | Rice attacks the Palestinian leadership, which was democratically elected, as testified by international observers, including former US presidents. | attacks",high
sentiment | It was only natural for US National Security Adviser condoleezza Rice to make statements yesterday after what can be described as a oneupmanship of rudeness was inaugurated in Washington last week. | what can be described as a oneupmanship of rudeness was inaugurated in Washington last week,high
"arguing | The second fact is that if Washington is interested in democratic reforms in order to combat terrorism as it says it is, it should pressure the Israeli leadership to end its occupation of the Palestinian territories and stop its repressive practices against the Palestinian people. | if Washington is interested in democratic reforms in order to combat terrorism as it says it is, it should pressure the Israeli leadership to end its occupation of the Palestinian territories and stop its repressive practices against the Palestinian people",medium
"arguing | These accords explicitly stipulated that Israeli forces must not enter the Palestinian-controlled areas, which are called Areas A and cover all the Palestinian cities, naturally including Ramallah. | explicitly",medium
"sentiment | A prominent Israeli official, Shim'on Peres, said when his army moved into the Janin refugee camp: ""I am afraid that a massacre may have been committed in the Janin camp."" | am afraid",medium high
"sentiment | Even the most radical Israeli hardliners expressed the idea of the transfer more politely than the most senior, elected US bodies, which called on the Palestinians to give up the West Bank and look for what they called another homeland. | Even the most radical Israeli hardliners expressed the idea of the transfer more politely than the most senior, elected US bodies, which called on the Palestinians to give up the West Bank and look for what they called another homeland",high
"sentiment | The flagrant attack, which Condoleezza Rice launched on the Palestinian leadership yesterday, demonstrates how international dictatorship is practiced by the most powerful country on earth, which claims to be democratic and an advocate of nations'right to choose their leaders. | The flagrant attack, which Condoleezza Rice launched on the Palestinian leadership",high
"arguing | Rice attacks the Palestinian leadership, which was democratically elected, as testified by international observers, including former US presidents. | testified",low medium
"sentiment | The calls in Washington for democracy, transparency, and corruption-free system are only made to serve US plans, not out of concern about nations'interests. | The calls in Washington for democracy, transparency, and corruption-free system are only made to serve US plans, not out of concern about nations'interests",medium high
"sentiment | Moreover, the aim of these plans is to make the Palestinians yield to the dictates of the Israeli-US alliance, which seeks a mimic resolution to the Palestinian issue, which will perpetuate the occupation and facilitate the expansion of settlements. | which will perpetuate the occupation and facilitate the expansion of settlements",medium high
arguing | Both Washington and Israel must realize that the Palestinian people are intelligent enough to read between the lines and understand the long-term aims behind Condoleezza Rice's statements. | realize that the Palestinian people are intelligent enough to read between the lines and understand the long-term aims behind Condoleezza Rice's statements,low medium
"sentiment | Yet, the Palestinian leadership is denounced and attacked while the Israeli prime minister is praised. | is denounced and attacked",high
sentiment | The legislative branch took part in this oneupmanship by issuing resolutions showing full allegiance to the radical right wing in Israel. | took part in this oneupmanship by issuing resolutions showing full allegiance to the radical right wing in Israel,medium high
"arguing | This foretells that the Israeli occupation's claims will inevitably falls, no matter how long Sharon humiliates Arab dignity, relaying on the protection and support of Washington, which forgot all principles and role in defending justice, and international legitimacy. | will inevitably falls",medium high
sentiment | It is certain the Ben Eliezer's hallucination is a mere expression of failure to persuade the world to accept the brutality of the occupying forces'practices. | the brutality of the occupying forces'practices,high
arguing | It is certain the Ben Eliezer's hallucination is a mere expression of failure to persuade the world to accept the brutality of the occupying forces'practices. | It is certain the Ben Eliezer's hallucination is a mere expression of failure to persuade the world to accept the brutality of the occupying forces'practices,medium high
"sentiment | He has called for helping aggressive Israel to put a traitorous agent at the head of the Palestinian Authority, who could accept its terms to ""assassinate'the rights of Palestinians. | has called for",medium high
"arguing | Ben Eliezer's raving coincided with the arrival of his assassin boss Sharon to Washington to take part in exerting pressures on the US administration, and persuade it that removing Arafat could bring about the Palestinian surrender, and halt violence as he calls it. | persuade it that removing Arafat could bring about the Palestinian surrender, and halt violence",low medium
"arguing | It is that same security that Sharon, the assassin, uses as an excuse to instigate struggles and wars, and promote instability. | Sharon, the assassin, uses as an excuse to instigate struggles and wars, and promote instability",medium high
"arguing | The time has come, gentlemen, for Sharon, the assassin, to realize that injustice cannot last long. | The time has come, gentlemen, for Sharon, the assassin, to realize that injustice cannot last long",medium
"agreement | He has called for helping aggressive Israel to put a traitorous agent at the head of the Palestinian Authority, who could accept its terms to ""assassinate'the rights of Palestinians. | accept",low medium
"sentiment | The failure of the US-made Israeli war machine to settle this unequal battle became clear in the farcical-yet-provocative, statements made by the Israeli minister of defense now present in Washington. | the US-made Israeli war machine",high
"sentiment | This foretells that the Israeli occupation's claims will inevitably falls, no matter how long Sharon humiliates Arab dignity, relaying on the protection and support of Washington, which forgot all principles and role in defending justice, and international legitimacy. | forgot all principles and role in defending justice, and international legitimacy",high
arguing | The security of the Israelis depends on the Palestinians'regaining their rights. | depends on the Palestinians'regaining their rights,low medium
arguing | The only interpretation for these accusations is that Arafat has formidable supernatural powers that enable him to defend the rights of his homeland and people against the unlimited capabilities of the Israeli occupying forces equipped with all the mighty US weapon technology. | The only interpretation for these accusations is that Arafat has formidable supernatural powers that enable him to defend the rights of his homeland and people against the unlimited capabilities of the Israeli occupying forces equipped with all the mighty US weapon technology,medium high
sentiment | It is certain the Ben Eliezer's hallucination is a mere expression of failure to persuade the world to accept the brutality of the occupying forces'practices. | persuade,low medium
"arguing | This foretells that the Israeli occupation's claims will inevitably falls, no matter how long Sharon humiliates Arab dignity, relaying on the protection and support of Washington, which forgot all principles and role in defending justice, and international legitimacy. | foretells that the Israeli occupation's claims will inevitably falls, no matter how long Sharon humiliates Arab dignity",medium
"arguing | The time has come, gentlemen, for Sharon, the assassin, to realize that injustice cannot last long. | cannot last long",medium
"arguing | He also pretends that he besieges Arafat because so far, he was unable to confront the Palestinian resistance. | also pretends that he besieges Arafat because so far, he was unable to confront the Palestinian resistance",medium
"sentiment | This foretells that the Israeli occupation's claims will inevitably falls, no matter how long Sharon humiliates Arab dignity, relaying on the protection and support of Washington, which forgot all principles and role in defending justice, and international legitimacy. | relaying on the protection and support of",medium high
"sentiment | He has called for helping aggressive Israel to put a traitorous agent at the head of the Palestinian Authority, who could accept its terms to ""assassinate'the rights of Palestinians. | has called for helping aggressive Israel to put a traitorous agent at the head of the Palestinian Authority, who could accept its terms to ""assassinate'the rights of Palestinians",medium high
"arguing | By besieging Arafat, Sharon has turned him into the ""Mandela ""of Arab struggle. | the ""Mandela ""of Arab struggle",medium
"sentiment | This foretells that the Israeli occupation's claims will inevitably falls, no matter how long Sharon humiliates Arab dignity, relaying on the protection and support of Washington, which forgot all principles and role in defending justice, and international legitimacy. | humiliates Arab dignity",medium high
arguing | The only interpretation for these accusations is that Arafat has formidable supernatural powers that enable him to defend the rights of his homeland and people against the unlimited capabilities of the Israeli occupying forces equipped with all the mighty US weapon technology. | accusations,high
"arguing | With this attitude, Sharon's government showed its true hostility for a leader and chairman elected by his people. | showed its true hostility for a leader and chairman elected by his people",medium
sentiment | They even embody the bankrupt policy of Israeli criminal extremism and failure to gain legitimacy for its continuing occupation of the Palestinian territories. | the bankrupt policy of Israeli criminal extremism,high
"arguing | It is only natural, with the guerilla operations successively occur, even inside the fortified settlements, that the world begins to wonder whether the accusations that Arafat was planning, and instructing attacks on Israeli targets despite his captivity, and the round-the-clock Israeli surveillance, were founded. | It is only natural, with the guerilla operations successively occur, even inside the fortified settlements, that the world begins to wonder whether the accusations that Arafat was planning, and instructing attacks on Israeli targets despite his captivity, and the round-the-clock Israeli surveillance, were founded",medium
"arguing | It is only natural, with the guerilla operations successively occur, even inside the fortified settlements, that the world begins to wonder whether the accusations that Arafat was planning, and instructing attacks on Israeli targets despite his captivity, and the round-the-clock Israeli surveillance, were founded. | accusations that Arafat was planning, and instructing attacks on Israeli targets",high
"intention | It is only natural, with the guerilla operations successively occur, even inside the fortified settlements, that the world begins to wonder whether the accusations that Arafat was planning, and instructing attacks on Israeli targets despite his captivity, and the round-the-clock Israeli surveillance, were founded. | was planning",low
"arguing | They, along with the extremist gang in the Israeli government, do not want to understand that Arafat symbolizes the Palestinian struggle. | do not want to understand that Arafat symbolizes the Palestinian struggle",low medium
agreement | Sharon and Ben Eliezer never stopped to consider that no patriotic Palestinian could accept to serve as a substitute agent to Israel. | could accept to,low medium
sentiment | I do wish that Burns's statements reflect a true position that signals a return of balance to the US position in dealing with the reality of Palestinian-Israeli struggle. | do wish,low medium
"arguing | The failure of the US-made Israeli war machine to settle this unequal battle became clear in the farcical-yet-provocative, statements made by the Israeli minister of defense now present in Washington. | The failure of the US-made Israeli war machine to settle this unequal battle became clear in the farcical-yet-provocative, statements made by the Israeli minister of defense now present in Washington",medium high
"arguing | He also pretends that he besieges Arafat because so far, he was unable to confront the Palestinian resistance. | pretends that he besieges Arafat",low medium
sentiment | The only interpretation for these accusations is that Arafat has formidable supernatural powers that enable him to defend the rights of his homeland and people against the unlimited capabilities of the Israeli occupying forces equipped with all the mighty US weapon technology. | The only interpretation for these accusations is that Arafat has formidable supernatural powers that enable him to defend the rights of his homeland and people against the unlimited capabilities of the Israeli occupying forces equipped with all the mighty US weapon technology,high
"sentiment | Ben Eliezer's raving coincided with the arrival of his assassin boss Sharon to Washington to take part in exerting pressures on the US administration, and persuade it that removing Arafat could bring about the Palestinian surrender, and halt violence as he calls it. | assassin",high
"sentiment | With this attitude, Sharon's government showed its true hostility for a leader and chairman elected by his people. | With this attitude, Sharon's government showed its true hostility for a leader and chairman elected by his people",medium
"sentiment | Ben Eliezer's raving coincided with the arrival of his assassin boss Sharon to Washington to take part in exerting pressures on the US administration, and persuade it that removing Arafat could bring about the Palestinian surrender, and halt violence as he calls it. | raving",medium
"sentiment | The time has come, gentlemen, for Sharon, the assassin, to realize that injustice cannot last long. | injustice",high
"sentiment | They, along with the extremist gang in the Israeli government, do not want to understand that Arafat symbolizes the Palestinian struggle. | do not want to understand that Arafat symbolizes the Palestinian struggle",medium
"sentiment | The failure of the US-made Israeli war machine to settle this unequal battle became clear in the farcical-yet-provocative, statements made by the Israeli minister of defense now present in Washington. | farcical-yet-provocative",medium high
arguing | Sharon has not brought the Israeli public security. | has not brought the Israeli public security,medium
"sentiment | Israel does not want the Palestinians to be part of the same country, or have one of their own. | does not want the Palestinians to be part of the same country, or have one of their own",medium high
sentiment | But Israel has not once deigned to propose that the Palestinians live with the Israelis as full citizens in the same sate. | has not once deigned to propose that the Palestinians live with the Israelis as full citizens in the same sate,high
intention | He thinks that every settlement is important and is determined that Israelis must retain as much land in the West Bank and Gaza Strip as possible. | is determined,medium high
"sentiment | A total disengagement from the Palestinians, complete with walls and razor wire, might provide Israel its long-desired security and might free it of the burden of trying to control seven million desperate Palestinians, any number of whom are willing to die in order to end the occupation. | desperate",high
"sentiment | It cannot integrate itself into the region, it is an alien seedling and, thus, it is better to isolate and fortify itself as a lowly outpost. | It cannot integrate itself into the region, it is an alien seedling and, thus, it is better to isolate and fortify itself as a lowly outpost",high
"sentiment | The buffer zones that Ariel Sharon intends to establish are an explicit admission that Israelis can no longer live by the sword, that the occupation is not working, and Israeli reprisals are not meeting with success. | is not working",medium
"arguing | The buffer zones that Ariel Sharon intends to establish are an explicit admission that Israelis can no longer live by the sword, that the occupation is not working, and Israeli reprisals are not meeting with success. | is not working",medium
"arguing | The buffer zones that Ariel Sharon intends to establish are an explicit admission that Israelis can no longer live by the sword, that the occupation is not working, and Israeli reprisals are not meeting with success. | can no longer live by the sword",medium high
arguing | Does anybody believe that the intifada can end as long as Israel persists in the occupation of the territories and Palestinians are willing to die in large numbers to deny Israel that privilege? | Does anybody believe that the intifada can end as long as Israel persists in the occupation of the territories and Palestinians are willing to die in large numbers to deny Israel that privilege,medium high
"sentiment | With grim determination, he has destroyed the peace process and the Oslo agreements. | With grim determination, he has destroyed the peace process and the Oslo agreements",high
sentiment | But separation will not mean an end to the occupation and no Israeli government can provide security as long as it persists in its efforts to maintain its presence beyond Israel's pre-1967 borders and to retain territories inhabited by millions of Palestinians. | persists in its efforts to maintain its presence beyond Israel's pre-1967 borders and to retain territories inhabited by millions of Palestinians,medium
sentiment | A physical border between Israel and a new Palestinian state will be twisted and distorted to accommodate Jewish settlers in the West Bank and Gaza. | will be twisted and distorted to accommodate Jewish settlers in the West Bank and Gaza,high
"arguing | Thinking of building a Great Wall of China in the Middle East, replete with elaborate fences and tunnels, is conceding that Israel is not safe, not a normal country. | is conceding that Israel is not safe, not a normal country",medium high
sentiment | Israelis do not wonder any longer how to get along with Palestinians but how to avoid the need for it. | do not wonder any longer how to get along with Palestinians but how to avoid the need for it,medium
sentiment | Does anybody believe that the intifada can end as long as Israel persists in the occupation of the territories and Palestinians are willing to die in large numbers to deny Israel that privilege? | willing to die in large numbers to deny,high
"sentiment | The buffer zones that Ariel Sharon intends to establish are an explicit admission that Israelis can no longer live by the sword, that the occupation is not working, and Israeli reprisals are not meeting with success. | can no longer live by the sword",high
"arguing | Thinking of building a Great Wall of China in the Middle East, replete with elaborate fences and tunnels, is conceding that Israel is not safe, not a normal country. | is not safe, not a normal country",medium high
"arguing | The buffer zones that Ariel Sharon intends to establish are an explicit admission that Israelis can no longer live by the sword, that the occupation is not working, and Israeli reprisals are not meeting with success. | are an explicit admission that Israelis can no longer live by the sword, that the occupation is not working, and Israeli reprisals are not meeting with success",high
"sentiment | Thinking of building a Great Wall of China in the Middle East, replete with elaborate fences and tunnels, is conceding that Israel is not safe, not a normal country. | is not safe, not a normal country",medium high
sentiment | Sharon has not brought the Israeli public security. | has not brought the Israeli public security,medium
"sentiment | A total disengagement from the Palestinians, complete with walls and razor wire, might provide Israel its long-desired security and might free it of the burden of trying to control seven million desperate Palestinians, any number of whom are willing to die in order to end the occupation. | long-desired",high
"arguing | It cannot integrate itself into the region, it is an alien seedling and, thus, it is better to isolate and fortify itself as a lowly outpost. | It cannot integrate itself into the region, it is an alien seedling and, thus, it is better to isolate and fortify itself as a lowly outpost",medium high
intention | Then there is the eventual goal of the peace process: the coexistence of Israel with the state of Palestine. | goal of the peace process,low
"sentiment | A total disengagement from the Palestinians, complete with walls and razor wire, might provide Israel its long-desired security and might free it of the burden of trying to control seven million desperate Palestinians, any number of whom are willing to die in order to end the occupation. | are willing to die in order to",high
"arguing | By a margin of 2-1, Israelis think Sharon has no plan to end the violence and the buffer idea buttresses this long-standing view. | think Sharon has no plan to end the violence",medium
"arguing | Practically speaking, a buffer zone will be near impossible to erect. | will be near impossible to erect",high
arguing | He thinks that every settlement is important and is determined that Israelis must retain as much land in the West Bank and Gaza Strip as possible. | thinks that every settlement is important,medium
"arguing | Even if, contrary to all reason, the operation turns out to be successful, the underlying problem would remain the same as before. | contrary to all reason",high
"agreement | Since Sharon refuses to offer the Palestinians their own state with acceptable borders and conditions, there are two alternatives left. | refuses to",medium high
arguing | One would think that no politically prudent Israeli could support either of them. | think that no politically prudent Israeli could support either of them,medium high
arguing | It is high time for the United States to hurry to offer its assistance. | It is high time for the United States to hurry to offer its assistance,medium high
sentiment | One would think that no politically prudent Israeli could support either of them. | could support,medium
sentiment | As Israeli tanks push their way into one Palestinian population center after another it has become more and more difficult to guess what political objectives might be driving Prime Minister Ariel Sharon. | be driving,low medium
"sentiment | By supporting Sharon's irresponsible saber rattling, Washington places strains on its relations with the Arab countries and needlessly puts off a settlement, in which it must some day play the role of midwife. | irresponsible saber rattling",high
arguing | The other alternative entails the massive expulsion of the three million Palestinians to neighboring countries with the human and political catastrophe that would accompany this. | the human and political catastrophe that would accompany,high
sentiment | As Israeli tanks push their way into one Palestinian population center after another it has become more and more difficult to guess what political objectives might be driving Prime Minister Ariel Sharon. | As Israeli tanks push their way into one Palestinian population center after another,medium
"arguing | By supporting Sharon's irresponsible saber rattling, Washington places strains on its relations with the Arab countries and needlessly puts off a settlement, in which it must some day play the role of midwife. | By supporting Sharon's irresponsible saber rattling, Washington places strains on its relations with the Arab countries",medium
"sentiment | The last few months have demonstrated that, on the contrary, they have become an extraordinary burden. | have become an extraordinary burden",medium high
sentiment | One would think that no politically prudent Israeli could support either of them. | no politically prudent Israeli could support,medium
sentiment | This would soon erode both what is left of the army's reputation and its military cutting edge. | would soon erode both what is left of the army's reputation and its military cutting edge,low medium
arguing | The temporary security it may produce will be lost immediately if the troops are withdrawn. | will be lost immediately if the troops are withdrawn,medium
"arguing | Terrorism will not be absent from such a country and, in the process, Israel will lose the right to count itself among the world's democracies. | will not be absent from such a country",medium
"sentiment | In the United Nations, it supported [a call for] the removal of Israeli troops from the cities in the occupied areas. | supported",medium
"intention | In the past week, the United States has taken a stand in support of the Saudi Arabian peace plan. | plan",low
"sentiment | The desperate tableau that has emerged in the last few days is becoming even more dismal, and the administration of President George W. Bush does not appear to have any sort of logical Near East policy. | does not appear to have any sort of logical Near East policy",medium
arguing | The ingredients for a decision are in large measure in place if they would only be admitted by the two sides. | are in large measure in place if they would only be admitted by the two sides,medium
"arguing | The desperate tableau that has emerged in the last few days is becoming even more dismal, and the administration of President George W. Bush does not appear to have any sort of logical Near East policy. | does not appear to have any sort of logical Near East policy",medium
arguing | One would think that no politically prudent Israeli could support either of them. | would think that no politically prudent Israeli could support either of them,low medium
"sentiment | We can understand this as an immediate military objective, but nothing will be achieved by the operation politically. | nothing will be achieved by the operation politically",low medium
"sentiment | Sharon, of course, will not admit that he is planning anything like this, even though the idea has been discussed in Israel. | of course, will not admit that he is planning anything like this",low medium
"sentiment | The categorical moral condemnation of terrorism is self-evident, but this will not free Israel from the problem it faces. | categorical moral condemnation of",high
sentiment | Israel is responsible for about three million bitter people who lack political rights. | is responsible for about three million bitter people who lack political rights,high
"sentiment | He says he wants to destroy the ""infrastructure ""behind the suicide attacks against the Israelis. | wants to",medium
"arguing | A few kilograms of explosives, a simple detonating fuse, and a desperate hatred are the most important ingredients. | A few kilograms of explosives, a simple detonating fuse, and a desperate hatred are the most important ingredients",high
"sentiment | Even if, contrary to all reason, the operation turns out to be successful, the underlying problem would remain the same as before. | Even if, contrary to all reason, the operation turns out to be successful",medium
sentiment | The other alternative entails the massive expulsion of the three million Palestinians to neighboring countries with the human and political catastrophe that would accompany this. | entails the massive expulsion of the three million Palestinians to neighboring countries with the human and political catastrophe that would accompany this,high
"intention | We can understand this as an immediate military objective, but nothing will be achieved by the operation politically. | military objective",low
"sentiment | A few kilograms of explosives, a simple detonating fuse, and a desperate hatred are the most important ingredients. | desperate hatred",high
arguing | Israel is responsible for about three million bitter people who lack political rights. | is responsible for about three million bitter people who lack political rights,medium high
"arguing | By supporting Sharon's irresponsible saber rattling, Washington places strains on its relations with the Arab countries and needlessly puts off a settlement, in which it must some day play the role of midwife. | in which it must some day play the role of midwife",medium
"sentiment | By supporting Sharon's irresponsible saber rattling, Washington places strains on its relations with the Arab countries and needlessly puts off a settlement, in which it must some day play the role of midwife. | supporting",medium
"arguing | Sharon, of course, will not admit that he is planning anything like this, even though the idea has been discussed in Israel. | will not admit",low
