input,output
expressive | The problem is neither simple nor minor. | neither simple nor minor,medium
expressive | Particularly affected would be the world's poorer regions. | Particularly affected would be,low
"expressive | Also contributing was the interested and well-organized participation of nongovernmental sectors in Brazil, including the private sector. | well-organized participation",low
"expressive | At a new meeting in Bonn in July of this year, thanks to the efforts of many delegations, including that from Brazil, which played a leading role, it was possible to isolate five areas for negotiation. | thanks",low
"expressive | That will be proof, on its 10th anniversary, of the success of the Rio Conference, where this whole important effort began. | this whole important effort",medium
expressive | That will facilitate their possible convergence later with the international system. | possible convergence,low
"expressive | That will be proof, on its 10th anniversary, of the success of the Rio Conference, where this whole important effort began. | the success of the Rio Conference",low
"expressive | Even the United States, which declared for its own reasons that it did not intend to ratify it, has been giving indications that it will adopt domestic measures using concepts capable of being harmonized with those set forth in the protocol. | Even",low
"expressive | TOKYO, Feb 15 (AFP) - Japan Friday welcomed President George W. Bush's alternative to the Kyoto Protocol on reducing greenhouse gases, but said it will press on with ratification of the pact the US rejected. | press on",low
"expressive | The Kyoto pact, which Bush Thursday called ""an unsound international treaty "", commits countries to cut their emissions of greenhouse gases to below 1990 levels by a timetable of 2008-2012 | unsound",medium
"expressive | ""While the government of Japan intends to take all necessary steps to ensure the approval by the Diet of the Kyoto Protocol as well as the enactment of the required legislation during the current Diet session...it is important to establish a common rule in future in which all countries including the United States and developing countries participate, ""the statement said. | all",low
"expressive | ""While the government of Japan intends to take all necessary steps to ensure the approval by the Diet of the Kyoto Protocol as well as the enactment of the required legislation during the current Diet session...it is important to establish a common rule in future in which all countries including the United States and developing countries participate, ""the statement said. | including",low
"agreement | TOKYO, Feb 15 (AFP) - Japan Friday welcomed President George W. Bush's alternative to the Kyoto Protocol on reducing greenhouse gases, but said it will press on with ratification of the pact the US rejected. | rejected",high
"sentiment | The Kyoto pact, which Bush Thursday called ""an unsound international treaty "", commits countries to cut their emissions of greenhouse gases to below 1990 levels by a timetable of 2008-2012 | an unsound international treaty",medium high
"agreement | The minister however said Japan will press on with ratification of the 1997 Kyoto pact on global warming, which environment ministers from 160 countries -- with the exception of the United States -- agreed on in Morocco last November after marathon talks. | agreed on",medium
"intention | Bush's plan, which he revealed in a speech Thursday night, would slow emissions growth by reducing ""greenhouse gas intensity ""-- the ratio of emissions to economic output -- by a target of 18 percent over 10 years. | plan",low
"intention | TOKYO, Feb 15 (AFP) - Japan Friday welcomed President George W. Bush's alternative to the Kyoto Protocol on reducing greenhouse gases, but said it will press on with ratification of the pact the US rejected. | will press on with",medium
"sentiment | TOKYO, Feb 15 (AFP) - Japan Friday welcomed President George W. Bush's alternative to the Kyoto Protocol on reducing greenhouse gases, but said it will press on with ratification of the pact the US rejected. | rejected",medium
"intention | ""The government of Japan appreciates the announcement of climate change policy by the government of the United States on February 14 as a demonstration of its serious intention to address the issue of global warming, ""Foreign Minister Yoriko Kawaguchi said in a statement. | serious intention to",medium high
"arguing | The Kyoto pact, which Bush Thursday called ""an unsound international treaty "", commits countries to cut their emissions of greenhouse gases to below 1990 levels by a timetable of 2008-2012 | an unsound international treaty",medium
"intention | The minister however said Japan will press on with ratification of the 1997 Kyoto pact on global warming, which environment ministers from 160 countries -- with the exception of the United States -- agreed on in Morocco last November after marathon talks. | will press on with",medium
"sentiment | TOKYO, Feb 15 (AFP) - Japan Friday welcomed President George W. Bush's alternative to the Kyoto Protocol on reducing greenhouse gases, but said it will press on with ratification of the pact the US rejected. | welcomed",medium
"sentiment | ""The government of Japan appreciates the announcement of climate change policy by the government of the United States on February 14 as a demonstration of its serious intention to address the issue of global warming, ""Foreign Minister Yoriko Kawaguchi said in a statement. | appreciates",medium
"intention | ""While the government of Japan intends to take all necessary steps to ensure the approval by the Diet of the Kyoto Protocol as well as the enactment of the required legislation during the current Diet session...it is important to establish a common rule in future in which all countries including the United States and developing countries participate, ""the statement said. | intends to",low
"expressive | The! Korean government is of the view that in order for the U.S. initiative to be discussed in more detail in future international fora, greater elaboration is needed, including concrete methods to establish the levels of greenhouse gas intensity, it continued. | concrete",low
"expressive | ""In light of this, the Korean Government believes that consultations amongst the international community are needed to build understanding on the U.S. initiative, ""the statement noted, adding the Seoul government will actively participate in this process. | needed",medium
"expressive | ""The Korean Government notes that the new U.S. Government initiative adopts a flexible and gradual approach to reducing greenhouse gas emissions, and that it takes into consideration the concerns of developing countries, ""the statement said | takes into consideration",medium
"expressive | The Ministry of Foreign Affairs and Trade said in a statement that ""the Government of the Republic of Korea appreciates continued interest shown by the Government of the United States in climate change and their efforts in presenting on February 14 a new initiative to address this issue which is one of the greatest challenges humankind faces in the 21st century."" | one of the greatest challenges humankind faces",high
"sentiment | The Ministry of Foreign Affairs and Trade said in a statement that ""the Government of the Republic of Korea appreciates continued interest shown by the Government of the United States in climate change and their efforts in presenting on February 14 a new initiative to address this issue which is one of the greatest challenges humankind faces in the 21st century."" | interest shown by the Government of the United States in",medium
sentiment | The U.S. administration led by President George W. Bush rejected the Protocol early last year and recently announced a new policy on climate change which aims to reduce greenhouse gas emissions relative to Gross Domestic Product or economic activities. | rejected,medium high
"sentiment | ""The Korean Government notes that the new U.S. Government initiative adopts a flexible and gradual approach to reducing greenhouse gas emissions, and that it takes into consideration the concerns of developing countries, ""the statement said | concerns",medium
"sentiment | Before the Sept. 11 terrorist attacks in the United States, the Bush administration had been severely blamed in the international community for rejecting the Kyoto Protocol. | had been severely blamed in the international community for rejecting the Kyoto Protocol",high
"sentiment | The Ministry of Foreign Affairs and Trade said in a statement that ""the Government of the Republic of Korea appreciates continued interest shown by the Government of the United States in climate change and their efforts in presenting on February 14 a new initiative to address this issue which is one of the greatest challenges humankind faces in the 21st century."" | appreciates continued interest shown by the Government of the United States in climate change and their efforts in presenting on February 14 a new initiative to address this issue",medium
"arguing | The Ministry of Foreign Affairs and Trade said in a statement that ""the Government of the Republic of Korea appreciates continued interest shown by the Government of the United States in climate change and their efforts in presenting on February 14 a new initiative to address this issue which is one of the greatest challenges humankind faces in the 21st century."" | is one of the greatest challenges humankind faces in the 21st century",high
"arguing | 18 (Yonhap) -- The government on Monday announced its position on U.S. President George W. Bush's new policy to control greenhouse gas emissions that he wants discussed internationally along with the Kyoto Protocol, an international treaty adopted in 1997 to control greenhouse gas emissions. | position on",low
"sentiment | 18 (Yonhap) -- The government on Monday announced its position on U.S. President George W. Bush's new policy to control greenhouse gas emissions that he wants discussed internationally along with the Kyoto Protocol, an international treaty adopted in 1997 to control greenhouse gas emissions. | wants",medium
"arguing | The! Korean government is of the view that in order for the U.S. initiative to be discussed in more detail in future international fora, greater elaboration is needed, including concrete methods to establish the levels of greenhouse gas intensity, it continued. | is of the view that in order for the U.S. initiative to be discussed in more detail in future international fora, greater elaboration is needed, including concrete methods to establish the levels of greenhouse gas intensity",medium
"expressive | The government and business circle expect the nation's exports to be damaged in direct and indirect ways from 2008, when advanced nations will begin to be regulated by the protocol. | damaged",medium
"expressive | According to an April survey of 416 firms across the country conducted by the Korea Chamber of Commerce and Industry (KCCI), 60 percent of total respondents said the United Nations Framework Convention for Climate Change will greatly influence local firms But only 28.4 percent replied that they are rushing to conform to the protocol's requirements. | rushing to conform",medium
"expressive | Even though South Korea declared its intention to discuss its duty to cut down greenhouse gases from 2018, there is little possibility that advanced nations will wait until then. | Even though",medium
"expressive | Under this situation, the nation cannot possibly avoid pressures to match the cuts of advanced nations. | cannot possibly",medium
expressive | The government will have to pour a lot of money into businesses to promote energy efficiency. | pour a lot of money,medium
"expressive | In particular, Japan and European countries are likely to persuade developing countries including South Korea to take part in the reduction of greenhouse gases earlier than planned in an attempt to secure the United States'ratification of the protocol. | likely",low
"expressive | Even though South Korea declared its intention to discuss its duty to cut down greenhouse gases from 2018, there is little possibility that advanced nations will wait until then. | duty",low
"expressive | Unless measures that comply with the Kyoto Protocol are mapped out early, the nation's competitiveness in manufacturing sectors will weaken soon. | will weaken soon",low
"expressive | ""The government should provide domestic firms real aid like tax reductions and environmental technology development rather than abstractly recommend domestic firms promote energy efficiency and lower energy consumption, ""an industry source said. | should",medium
"arguing | ""The government should provide domestic firms real aid like tax reductions and environmental technology development rather than abstractly recommend domestic firms promote energy efficiency and lower energy consumption, ""an industry source said. | should provide domestic firms real aid like tax reductions and environmental technology development",medium
"sentiment | Under this situation, the nation cannot possibly avoid pressures to match the cuts of advanced nations. | pressures to",low medium
agreement | The Kyoto Protocol is an agreement to get 30 leading industrialized countries such as Japan and members of the European Union (EU) to lessen greenhouse gas emissions by amounts as high as 95 percent of levels in the 1990's. | an agreement,low
"arguing | If the protocol, which prescribes an obligatory reduction of greenhouse gases, is put into effect, the nation's export will be heavily damaged. | If the protocol, which prescribes an obligatory reduction of greenhouse gases, is put into effect, the nation's export will be heavily damaged",low medium
"arguing | The U.S. backed out of the agreement, saying its industries would be handicapped by stringent rules that developing countries could simply ignore. | its industries would be handicapped by stringent rules that developing countries could simply ignore",medium
"sentiment | The U.S. backed out of the agreement, saying its industries would be handicapped by stringent rules that developing countries could simply ignore. | its industries would be handicapped by stringent rules that developing countries could simply ignore",medium
"arguing | If things go on like this, the government must transform the current industrial structure into an environment-friendly one and minimize industries which use a host of energy such as petrochemicals and cement manufacturing. | If things go on like this, the government must transform the current industrial structure into an environment-friendly one and minimize industries which use a host of energy such as petrochemicals and cement manufacturing",medium high
arguing | The government will have to pour a lot of money into businesses to promote energy efficiency. | will have to pour a lot of money into businesses to promote energy efficiency,medium high
"arguing | ""The government should provide domestic firms real aid like tax reductions and environmental technology development rather than abstractly recommend domestic firms promote energy efficiency and lower energy consumption, ""an industry source said. | should provide domestic firms real aid like tax reductions and environmental technology development rather than abstractly recommend domestic firms promote energy efficiency and lower energy consumption",medium
"arguing | The government and business circle expect the nation's exports to be damaged in direct and indirect ways from 2008, when advanced nations will begin to be regulated by the protocol. | expect the nation's exports to be damaged in direct and indirect ways from 2008",low medium
"sentiment | The U.S. backed out of the agreement, saying its industries would be handicapped by stringent rules that developing countries could simply ignore. | backed out of",low medium
"expressive | The United States says the CTBT is unacceptable; that nobody cares about the BWC; that there should not be a Kyoto Protocol; that US citizens have the right to own handguns; that land mines are necessary; that the SOFA needs no revision, just a change in application; and then we should attack Iraq together. | should",medium
"expressive | The United States says the CTBT is unacceptable; that nobody cares about the BWC; that there should not be a Kyoto Protocol; that US citizens have the right to own handguns; that land mines are necessary; that the SOFA needs no revision, just a change in application; and then we should attack Iraq together. | should not",medium
"expressive | The United States says the CTBT is unacceptable; that nobody cares about the BWC; that there should not be a Kyoto Protocol; that US citizens have the right to own handguns; that land mines are necessary; that the SOFA needs no revision, just a change in application; and then we should attack Iraq together. | just a",low
"expressive | ""During President Bush's speech, I thought of heckling;'What are you going to do with the Kyoto Protocol?'and'How about CTBT?'but I refrained. | How about",medium
"expressive | Ambassadors from Middle Eastern countries immediately came and asked me what I thought of the President's speech."" | immediately",low
"expressive | The United States says the CTBT is unacceptable; that nobody cares about the BWC; that there should not be a Kyoto Protocol; that US citizens have the right to own handguns; that land mines are necessary; that the SOFA needs no revision, just a change in application; and then we should attack Iraq together. | nobody cares",medium
"expressive | The United States says the CTBT is unacceptable; that nobody cares about the BWC; that there should not be a Kyoto Protocol; that US citizens have the right to own handguns; that land mines are necessary; that the SOFA needs no revision, just a change in application; and then we should attack Iraq together. | needs no",low
"expressive | I think'value sharing,'not'burden sharing'or'power sharing,'is needed for today's Japan-US relationship. | needed",medium
"expressive | The United States says the CTBT is unacceptable; that nobody cares about the BWC; that there should not be a Kyoto Protocol; that US citizens have the right to own handguns; that land mines are necessary; that the SOFA needs no revision, just a change in application; and then we should attack Iraq together. | and then",low
"expressive | The President used the words'common values,'but is it really true? | but is it really true",medium
"sentiment | Taro Kono (39), son of former Foreign Minister Yohei Kono and twice elected lower house Liberal Democratic Party member, wrote a critical comment on the US president's speech before the Japanese Diet on 19 February. | critical comment",medium
"arguing | The United States says the CTBT is unacceptable; that nobody cares about the BWC; that there should not be a Kyoto Protocol; that US citizens have the right to own handguns; that land mines are necessary; that the SOFA needs no revision, just a change in application; and then we should attack Iraq together. | US citizens have the right to own handguns",medium
"arguing | The President used the words'common values,'but is it really true? | but is it really true?",medium
"arguing | The United States says the CTBT is unacceptable; that nobody cares about the BWC; that there should not be a Kyoto Protocol; that US citizens have the right to own handguns; that land mines are necessary; that the SOFA needs no revision, just a change in application; and then we should attack Iraq together. | needs no revision",medium
"arguing | The United States says the CTBT is unacceptable; that nobody cares about the BWC; that there should not be a Kyoto Protocol; that US citizens have the right to own handguns; that land mines are necessary; that the SOFA needs no revision, just a change in application; and then we should attack Iraq together. | the CTBT is unacceptable; that nobody cares about the BWC; that there should not be a Kyoto Protocol; that US citizens have the right to own handguns; that land mines are necessary; that the SOFA needs no revision, just a change in application; and then we should attack Iraq together",high
"sentiment | The United States says the CTBT is unacceptable; that nobody cares about the BWC; that there should not be a Kyoto Protocol; that US citizens have the right to own handguns; that land mines are necessary; that the SOFA needs no revision, just a change in application; and then we should attack Iraq together. | should attack",medium
"arguing | The United States says the CTBT is unacceptable; that nobody cares about the BWC; that there should not be a Kyoto Protocol; that US citizens have the right to own handguns; that land mines are necessary; that the SOFA needs no revision, just a change in application; and then we should attack Iraq together. | are necessary",medium
"sentiment | ""During President Bush's speech, I thought of heckling;'What are you going to do with the Kyoto Protocol?'and'How about CTBT?'but I refrained. | thought of heckling",high
"arguing | The United States says the CTBT is unacceptable; that nobody cares about the BWC; that there should not be a Kyoto Protocol; that US citizens have the right to own handguns; that land mines are necessary; that the SOFA needs no revision, just a change in application; and then we should attack Iraq together. | needs no revision, just a change in application",medium
"expressive | In March 2001, the US administration opposed the protocol by saying that it contravenes US economic interests, a decision slammed by European Union countries at the time. | contravenes",low
"arguing | In March 2001, the US administration opposed the protocol by saying that it contravenes US economic interests, a decision slammed by European Union countries at the time. | contravenes US economic interests",medium
"intention | Although developed countries are the world's main source of large-scale air pollution, Jordan's decision to sign the protocol is aimed at stressing its ""commitment towards the different international conventions, ""Juneidi said. | commitment towards",medium
"sentiment | In March 2001, the US administration opposed the protocol by saying that it contravenes US economic interests, a decision slammed by European Union countries at the time. | slammed",high
"sentiment | With the signing of the protocol, he said, GCEP hopes to attract more funding to contribute to the international community's efforts in reducing greenhouse gases, which trap heat in the earth's atmosphere thus causing climate change. | hopes to",medium
"expressive | With its decision to ratify the protocol at EU level, the European Union stays true to its ambition to enable the Kyoto Protocol to come into force by the World Summit on Sustainable Development in August/September 2002. | stays true",medium
"expressive | We all know that even the targets in the Kyoto Protocol are only a first step if we want to prevent the severe consequences that climate change could have."" | even",low
"expressive | However, all Member States have to take their responsibility to ensure that they meet their burden-sharing targets."" | have to take their responsibility",medium
"expressive | ""The fact that at least 25-30 industrialised countries are likely to ratify the Protocol within this year is a clear signal that the Kyoto Protocol, with its legally binding targets and timetables, is the only effective international framework for combating global warming."" | a clear signal",medium
"expressive | Referring to President Bush's climate change plan for the US that he announced on 14 February the Commissioner noted: ""These proposals will not lead to a reduction of greenhouse gas emissions in the United States but allow a significant increase. | will not",low
"expressive | All countries have to act, but the industrialised countries have to take the lead. | have to act",medium
"expressive | Environment Commissioner Margot Wallstrom stated: ""This is indeed a good day for the climate and for sustainable development. | indeed a good day",medium
"expressive | We all know that even the targets in the Kyoto Protocol are only a first step if we want to prevent the severe consequences that climate change could have."" | severe consequences",medium
expressive | We can only tackle climate change effectively through a multi-lateral process. | can only tackle,medium
"expressive | ""The fact that at least 25-30 industrialised countries are likely to ratify the Protocol within this year is a clear signal that the Kyoto Protocol, with its legally binding targets and timetables, is the only effective international framework for combating global warming."" | only effective",medium
"expressive | Once again, the EU is exercising leadership in addressing this global environmental problem, as we have done in Bonn and Marrakech last year. | Once again",low
"expressive | The Commissioner concluded by stressing the need for further EU emission reduction measures: ""The European Commission has already proposed measures to reduce emissions at the lowest economic cost, including an EC-wide emissions trading scheme to begin in 2005. | the need for further",medium
"expressive | Referring to President Bush's climate change plan for the US that he announced on 14 February the Commissioner noted: ""These proposals will not lead to a reduction of greenhouse gas emissions in the United States but allow a significant increase. | significant",low
"expressive | Once again, the EU is exercising leadership in addressing this global environmental problem, as we have done in Bonn and Marrakech last year. | exercising leadership",medium
expressive | I am convinced that improving the environment through technological progress can actually enhance our competitiveness and economic growth. | actually enhance,medium
"arguing | However, all Member States have to take their responsibility to ensure that they meet their burden-sharing targets."" | have to take their responsibility to ensure that they meet their burden-sharing targets",medium
"sentiment | With its decision to ratify the protocol at EU level, the European Union stays true to its ambition to enable the Kyoto Protocol to come into force by the World Summit on Sustainable Development in August/September 2002. | stays true to its ambition",medium
arguing | The scientific evidence on climate change is stronger than ever. | is stronger than ever,medium high
sentiment | The European Commission strongly welcomes this decision. | strongly welcomes,high
"sentiment | Once again, the EU is exercising leadership in addressing this global environmental problem, as we have done in Bonn and Marrakech last year. | Once again, the EU is exercising leadership in addressing this global environmental problem, as we have done in Bonn and Marrakech last year",high
"intention | With its decision to ratify the protocol at EU level, the European Union stays true to its ambition to enable the Kyoto Protocol to come into force by the World Summit on Sustainable Development in August/September 2002. | decision to ratify",low medium
sentiment | Further proposals are in the pipeline. | proposals,low
"arguing | Referring to President Bush's climate change plan for the US that he announced on 14 February the Commissioner noted: ""These proposals will not lead to a reduction of greenhouse gas emissions in the United States but allow a significant increase. | but allow a significant increase",high
"arguing | ""Action to fight climate change is vital to achieve sustainable development, Mrs. Wallstrom added. | is vital to achieve sustainable development",medium high
"sentiment | The Commissioner finally welcomed indications by Japan, New Zealand and Norway that they are preparing for ratification, and strongly called on others, notably Russia, to do the same. | strongly called on",high
"arguing | All countries have to act, but the industrialised countries have to take the lead. | the industrialised countries have to take the lead",medium
"arguing | By taking this decision, the EU has reaffirmed its commitment to pursuing multilateral solutions to issues of global concern. | By taking this decision, the EU has reaffirmed its commitment to pursuing multilateral solutions to issues of global concern",low
"arguing | We all know that even the targets in the Kyoto Protocol are only a first step if we want to prevent the severe consequences that climate change could have."" | We all know that even the targets in the Kyoto Protocol are only a first step if we want to prevent the severe consequences that climate change could have",high
"sentiment | The Commissioner concluded by stressing the need for further EU emission reduction measures: ""The European Commission has already proposed measures to reduce emissions at the lowest economic cost, including an EC-wide emissions trading scheme to begin in 2005. | has already proposed",low
sentiment | Today the Council of EU environment ministers adopted the Commission's proposal for a decision to ratify the Kyoto Protocol. | adopted,low
sentiment | Today the Council of EU environment ministers adopted the Commission's proposal for a decision to ratify the Kyoto Protocol. | proposal for,low
sentiment | I am convinced that improving the environment through technological progress can actually enhance our competitiveness and economic growth. | can actually enhance our competitiveness and economic growth,low medium
"sentiment | We all know that even the targets in the Kyoto Protocol are only a first step if we want to prevent the severe consequences that climate change could have."" | want to prevent",medium high
"sentiment | The Commissioner also stated that she was grateful for the strong support received from the European Parliament to secure timely EU ratification, and pleased with the confirmation by the candidate countries that they are on track to ratify. | pleased with",medium
sentiment | The EU continues to call for the United States to participate in the global framework for addressing climate change. | continues to call for,medium high
"intention | By taking this decision, the EU has reaffirmed its commitment to pursuing multilateral solutions to issues of global concern. | has reaffirmed",low medium
"agreement | The decision also makes the Member States'greenhouse gas reduction commitments (the so-called ""Burden-Sharing Agreement "") agreed in June 1998 legally binding. | agreed",low
arguing | We can only tackle climate change effectively through a multi-lateral process. | We can only tackle climate change effectively through a multi-lateral process,medium high
"sentiment | We continue to urge the United States to return to the Kyoto process."" | continue to urge",medium high
sentiment | I am very pleased that the Council has now approved the Kyoto Protocol thus enabling the EU to proceed with its ratification. | has now approved,medium
sentiment | I am very pleased that the Council has now approved the Kyoto Protocol thus enabling the EU to proceed with its ratification. | am very pleased,medium high
arguing | To protect our climate we will have to reduce emissions. | we will have to reduce emissions,medium
"arguing | Referring to President Bush's climate change plan for the US that he announced on 14 February the Commissioner noted: ""These proposals will not lead to a reduction of greenhouse gas emissions in the United States but allow a significant increase. | will not lead to a reduction of greenhouse gas emissions in the United States",medium
"arguing | ""The fact that at least 25-30 industrialised countries are likely to ratify the Protocol within this year is a clear signal that the Kyoto Protocol, with its legally binding targets and timetables, is the only effective international framework for combating global warming."" | The fact that at least 25-30 industrialised countries are likely to ratify the Protocol within this year is a clear signal that the Kyoto Protocol, with its legally binding targets and timetables, is the only effective international framework for combating global warming",medium high
"sentiment | Environment Commissioner Margot Wallstrom stated: ""This is indeed a good day for the climate and for sustainable development. | This is indeed a good day for",medium
"sentiment | The Commissioner finally welcomed indications by Japan, New Zealand and Norway that they are preparing for ratification, and strongly called on others, notably Russia, to do the same. | welcomed",medium
"sentiment | The President of the European Commission Romano Prodi said: ""Today is an historical moment for European efforts to combat climate change. | Today is an historical moment for European efforts to combat climate change",high
expressive | It should therefore be implemented as quickly as possible and extended beyond the initial period of 2008-2012. | as quickly as possible,high
"expressive | In addition, if the US economy continues to grow, the increased energy efficiency will be cancelled out or more than cancelled out. | more than cancelled out",medium
expressive | Anybody who fails to exploit these markets from the outset will remain lagging behind. | remain lagging behind,medium
expressive | Researchers have shown that without a determined policy on climate coordinated at international level the consequences of climate change will be dramatic. | determined,medium
expressive | We hope that the United States will come to realize that an active climate protection policy is not only necessary for environmental policy but is also an excellent opportunity to modernize industrial society. | not only necessary,medium
"expressive | The United States, the world's biggest emitter of greenhouse gases (25 percent of global emissions) withdrew from an international agreement that, for the first time, set binding targets for developed countries for climate protection. | for the first time",low
expressive | This can hardly be described as ambitious as a 15 percent increase in energy efficiency was in any event expected given present productivity levels. | in any event,low
"expressive | It should be remembered that after Bush described the Kyoto Protocol as ""fundamentally flawed ""international negotiations on climate protection almost collapsed. | almost collapsed",medium
"expressive | In addition, if the US economy continues to grow, the increased energy efficiency will be cancelled out or more than cancelled out. | In addition",low
expressive | Researchers have shown that without a determined policy on climate coordinated at international level the consequences of climate change will be dramatic. | without,low
"expressive | However, all the parties repeated with insistence that world climate protection cannot be effective unless the United States takes measures that are comparable to these taken by Europe and Japan. | However",low
"expressive | The European Union played a dominant role in these negotiations and the community of states concluded, at the Bonn and Marrakech conferences of July and October last year, an agreement that sets out how to implement the Kyoto Protocol and provides for an original mechanism for respecting the reduction obligations that could possibly serve as a model for other agreements and that suggests a possible strengthening of international institutional structures in the environmental field. | dominant",medium
expressive | US reticence is not therefore a reason for us to reduce our climate protection efforts. | reticence,medium
expressive | The dominant role of the European climate protection policy has benefits for our economy. | benefits,medium
expressive | Anybody who fails to exploit these markets from the outset will remain lagging behind. | fails to exploit,medium
"expressive | If the effects of climate change were not so devastating and our action were to be guided by economic competition, we Europeans could welcome the fact that the United States is not committing itself to an ambitious climate protection program, in so far as the technologies in the field of energy efficiency and renewable energy are the technologies of the future. | of the future",low
"expressive | In its last report, the IPCC [Intergovernmental Panel on Climate Change] called for rapid and decisive action to at least avert the most serious consequences of climate change. | the most serious",high
expressive | Scientists estimate that the industrialized countries must reduce their emissions to around 70 percent by 2020 to maintain climate change at an acceptable level. | acceptable,low
"expressive | The European Union played a dominant role in these negotiations and the community of states concluded, at the Bonn and Marrakech conferences of July and October last year, an agreement that sets out how to implement the Kyoto Protocol and provides for an original mechanism for respecting the reduction obligations that could possibly serve as a model for other agreements and that suggests a possible strengthening of international institutional structures in the environmental field. | possible",low
"expressive | If the effects of climate change were not so devastating and our action were to be guided by economic competition, we Europeans could welcome the fact that the United States is not committing itself to an ambitious climate protection program, in so far as the technologies in the field of energy efficiency and renewable energy are the technologies of the future. | protection",medium
"expressive | The ""three liters for 100 kilometers ""car, high efficiency turbines, and solar panels are export successes and their development is driven by a climate protection policy of growing amplitude. | growing amplitude",medium
expressive | US reticence is not therefore a reason for us to reduce our climate protection efforts. | us,low
"expressive | On the contrary, it can have a positive effect. | positive",medium
"expressive | Unfortunately, the recent US climate protection program falls far short of meeting such expectations. | Unfortunately",medium
"expressive | At our instigation, on 4 March EU environment ministers therefore called on the United States to ""assume its responsibilities under the framework agreement on climate change, ""that is to stabilize greenhouse gas emissions at 1990 levels and strengthen domestic actions to bring them into line with the level of effort accepted by the industrial countries in application of the Kyoto Protocol. | therefore",low
"expressive | In addition, if the US economy continues to grow, the increased energy efficiency will be cancelled out or more than cancelled out. | if",low
expressive | Even today it is difficult to find buyers outside the United States for the fuel-guzzling cars of the US automobile industry. | difficult,medium
expressive | US reticence is not therefore a reason for us to reduce our climate protection efforts. | therefore,low
expressive | Even today it is difficult to find buyers outside the United States for the fuel-guzzling cars of the US automobile industry. | fuel-guzzling,medium
"expressive | If the effects of climate change were not so devastating and our action were to be guided by economic competition, we Europeans could welcome the fact that the United States is not committing itself to an ambitious climate protection program, in so far as the technologies in the field of energy efficiency and renewable energy are the technologies of the future. | were to be guided",low
"expressive | The European Union played a dominant role in these negotiations and the community of states concluded, at the Bonn and Marrakech conferences of July and October last year, an agreement that sets out how to implement the Kyoto Protocol and provides for an original mechanism for respecting the reduction obligations that could possibly serve as a model for other agreements and that suggests a possible strengthening of international institutional structures in the environmental field. | suggests",low
expressive | We now know that the US withdrawal did not stop the world community from deepening this important multilateral agreement for combating climate change. | We now know,low
"expressive | On the contrary, it can have a positive effect. | On the contrary",medium
"expressive | The average global temperature will increase by 5.8d C by 2100, sea levels will rise by up to 90 cm over the same period, and there will be an increasing number of hurricanes with ever more serious consequences, while man and nature will have to cope with a shift in climate and rainfall zones the like of which has never been seen before. | cope",medium
"expressive | The average global temperature will increase by 5.8d C by 2100, sea levels will rise by up to 90 cm over the same period, and there will be an increasing number of hurricanes with ever more serious consequences, while man and nature will have to cope with a shift in climate and rainfall zones the like of which has never been seen before. | ever more serious",high
"expressive | If the effects of climate change were not so devastating and our action were to be guided by economic competition, we Europeans could welcome the fact that the United States is not committing itself to an ambitious climate protection program, in so far as the technologies in the field of energy efficiency and renewable energy are the technologies of the future. | in so far as",low
expressive | It should therefore be implemented as quickly as possible and extended beyond the initial period of 2008-2012. | should,medium
"expressive | The average global temperature will increase by 5.8d C by 2100, sea levels will rise by up to 90 cm over the same period, and there will be an increasing number of hurricanes with ever more serious consequences, while man and nature will have to cope with a shift in climate and rainfall zones the like of which has never been seen before. | will be an increasing number",low
expressive | We now know that the US withdrawal did not stop the world community from deepening this important multilateral agreement for combating climate change. | deepening,medium
expressive | We now know that the US withdrawal did not stop the world community from deepening this important multilateral agreement for combating climate change. | did not stop,medium
"expressive | Although there is a certain satisfaction at seeing President Bush recognize the need to fight climate change, that must not in any way conceal the extreme weakness of what he announced. | the need",medium
"expressive | However, all the parties repeated with insistence that world climate protection cannot be effective unless the United States takes measures that are comparable to these taken by Europe and Japan. | unless",low
"expressive | The European Union played a dominant role in these negotiations and the community of states concluded, at the Bonn and Marrakech conferences of July and October last year, an agreement that sets out how to implement the Kyoto Protocol and provides for an original mechanism for respecting the reduction obligations that could possibly serve as a model for other agreements and that suggests a possible strengthening of international institutional structures in the environmental field. | could possibly",low
"expressive | With this major decision, the European Union is opening the door to the entry into force of the Kyoto Protocol for climate protection just in time for the world summit on sustainable development to be held in August 2002 in Johannesburg. | opening the door",low
expressive | US reticence is not therefore a reason for us to reduce our climate protection efforts. | not,medium
expressive | The door remains wide open for the United States to return to the Kyoto process: The biggest emitter of greenhouse gases cannot be relieved of its responsibilities for global climate protection. | The door remains wide open,medium
"expressive | If the effects of climate change were not so devastating and our action were to be guided by economic competition, we Europeans could welcome the fact that the United States is not committing itself to an ambitious climate protection program, in so far as the technologies in the field of energy efficiency and renewable energy are the technologies of the future. | ambitious",high
"expressive | Unfortunately, the recent US climate protection program falls far short of meeting such expectations. | falls far short",medium
expressive | We now know that the US withdrawal did not stop the world community from deepening this important multilateral agreement for combating climate change. | important,low
expressive | The door remains wide open for the United States to return to the Kyoto process: The biggest emitter of greenhouse gases cannot be relieved of its responsibilities for global climate protection. | cannot be relieved,medium
