input,output
arguing | There are many countries in the world that hardly qualify as pluralistic democracies. | There are many countries in the world that hardly qualify as pluralistic democracies,positive
intention | Government officials last month charged Tsvangirai and two other officials of his party with high treason for allegedly plotting to assassinate Mugabe. | plotting to,positive
"arguing | But a surge in political violence and accusations that the governing party changed election laws to rig the vote have fanned widespread concerns among Zimbabweans, election monitors and foreign diplomats that neither political party nor their supporters are prepared to accept the final tally. | accusations that the governing party changed election laws to rig the vote",positive
"sentiment | Most disturbing are pronouncements by senior government officials and military leaders that they would not allow this former British colony to be led by Tsvangirai and his political party, the Movement for Democratic Change. | Most disturbing are",negative
sentiment | Many fear violence after Zimbabwe vote | fear,negative
"sentiment | Bush told a news conference that the United States is consulting with other countries to decide how ""to deal with this flawed election."" | flawed",negative
"sentiment | He said those who thought the election process would be rigged were supporters of the MDC party, adding that they were prejudging and wanted to direct the process. | were prejudging",negative
"sentiment | He said those who thought the election process would be rigged were supporters of the MDC party, adding that they were prejudging and wanted to direct the process. | wanted to",positive
sentiment | Mugabe Predicts Victory in Zimbabwe's Election | Predicts Victory in Zimbabwe's Election,positive
"arguing | ""We have to deliver and safeguard the most important heritage to the young generation - land - which was taken from our forefathers by force, ""he told a recent rally. | the most important heritage to the young generation - land - which was taken from our forefathers by force",positive
arguing | The MDC party has accused Mugabe of using violence and other electoral manipulation to rig the poll. | has accused Mugabe of using violence and other electoral manipulation to rig the poll,positive
arguing | But that ambition would be fully tested at the ballot box this weekend. | But that ambition would be fully tested at the ballot box this weekend,positive
"agreement | Zimbabwe's incumbent President Robert Mugabe Saturday predicted victory in the country's two- horse presidential race, saying that he will accept the outcome of the election because he will have defeated Morgan Tsvangirai of the opposition Movement for Democratic Change (MDC). | will accept",positive
"sentiment | While defying international pressure to back down from his controversial land reforms, Mugabe has said he needs a new six- year mandate to complete the reforms. | pressure to",positive
"arguing | While defying international pressure to back down from his controversial land reforms, Mugabe has said he needs a new six- year mandate to complete the reforms. | needs a new six- year mandate to complete the reforms",positive
"sentiment | Mugabe even talked about his desire to keep safeguarding Zimbabwe's sovereignty and land in spirit when he dies, a dream which the veteran leader said forced him to sacrifice a bright teaching career in the 1950s to lead his compatriots out of colonial rule. | desire to",positive
intention | But that ambition would be fully tested at the ballot box this weekend. | ambition,positive
sentiment | The MDC party has accused Mugabe of using violence and other electoral manipulation to rig the poll. | has accused Mugabe of using violence and other electoral manipulation to rig the poll,negative
"arguing | He said those who thought the election process would be rigged were supporters of the MDC party, adding that they were prejudging and wanted to direct the process. | were prejudging and wanted to direct the process",positive
"sentiment | While defying international pressure to back down from his controversial land reforms, Mugabe has said he needs a new six- year mandate to complete the reforms. | pressure to back down from",negative
"sentiment | ""We have to deliver and safeguard the most important heritage to the young generation - land - which was taken from our forefathers by force, ""he told a recent rally. | was taken from our forefathers by force",negative
"sentiment | However, the program has drawn sharp international rebuke, particularly from former colonial power Britain, but Mugabe has vowed to press ahead with the reforms. | has vowed to press ahead with the reforms",positive
"arguing | The controversial land reform is the pillar of Mugabe's electoral strategy, which political analysts say could work either way. | is the pillar of Mugabe's electoral strategy",positive
sentiment | He told journalists after casting his ballot that he was more than confident of winning the election. | was more than confident of winning the election,positive
"arguing | Zimbabwe's incumbent President Robert Mugabe Saturday predicted victory in the country's two- horse presidential race, saying that he will accept the outcome of the election because he will have defeated Morgan Tsvangirai of the opposition Movement for Democratic Change (MDC). | will have defeated Morgan Tsvangirai of the opposition Movement for Democratic Change (MDC)",positive
arguing | He told journalists after casting his ballot that he was more than confident of winning the election. | was more than confident of,positive
"arguing | In Mugabe's view, the March election is a new chapter in his long struggle against colonial rule, which he led from the early 1960s until the country's independence. | is a new chapter in his long struggle against colonial rule",positive
"sentiment | Zimbabwe's incumbent President Robert Mugabe Saturday predicted victory in the country's two- horse presidential race, saying that he will accept the outcome of the election because he will have defeated Morgan Tsvangirai of the opposition Movement for Democratic Change (MDC). | predicted victory in the country's two- horse presidential race",positive
"arguing | Looking tired but blithesome after more than a month of daily election campaigns throughout the southern African country, Mugabe cast his vote in a weekend presidential poll, in which he is facing a serious challenge from his main rival Tsvangirai. | is facing a serious challenge from his main rival Tsvangirai",positive
"arguing | ""I will accept the results more than anything because I will have won, ""said Mugabe. | will have won",positive
"arguing | ""We have to deliver and safeguard the most important heritage to the young generation - land - which was taken from our forefathers by force, ""he told a recent rally. | have to deliver and safeguard the most important heritage to the young generation - land - which was taken from our forefathers by force",positive
"intention | However, the program has drawn sharp international rebuke, particularly from former colonial power Britain, but Mugabe has vowed to press ahead with the reforms. | has vowed to",positive
"sentiment | Now the country's 5.6 million voters are waiting anxiously for the results of the poll to be announced, although the voting, which was supposed to end Sunday, may stretch on for days. | are waiting anxiously for",negative
"sentiment | ""People pretend to be ZANU-PF because they are afraid. | People pretend to be ZANU-PF because they are afraid",negative
"sentiment | Mugabe is trying to move the goal posts to disenfranchise people, these people he thinks will vote against him, ""said Tsvangirai, visiting one polling station where thousands waited angrily to cast their votes, waving their hands in the open-handed signal of the MDC. | waited angrily",negative
"sentiment | Mugabe is trying to move the goal posts to disenfranchise people, these people he thinks will vote against him, ""said Tsvangirai, visiting one polling station where thousands waited angrily to cast their votes, waving their hands in the open-handed signal of the MDC. | will vote against",negative
"intention | Mugabe is trying to move the goal posts to disenfranchise people, these people he thinks will vote against him, ""said Tsvangirai, visiting one polling station where thousands waited angrily to cast their votes, waving their hands in the open-handed signal of the MDC. | is trying to",positive
"sentiment | Mr. Murphy points to the lack of independent voter education, the lack of any independent radio stations, and the ban on holding opposition rallies in many districts as just a few examples. | ban on",negative
"intention | A moment later she had decided, and the polling agent, smiling, put an ""X ""mark on the ballot in the space marked ""Robert Mugabe, ZANU-PF."" | had decided",positive
"sentiment | There are many Marthas here, people who marched to ZANU-PF anthems and cheered President Robert Mugabe at rallies, while secretly planning to vote for Mr. Tsvangirai. | secretly planning to vote for",positive
"sentiment | They wear the T-shirts and go to the rallies, but inside, they don't believe, ""she says. | don't believe",negative
"sentiment | ""People pretend to be ZANU-PF because they are afraid. | are afraid",negative
"sentiment | ""This is not a fair election, ""he says. | This is not a fair election",negative
"arguing | This is our future."" | This is our future",positive
"sentiment | The question foremost in the minds of most Zimbabweans is whether attempts to rig the election through voter intimidation, last- minute election-law changes, and outright fraud have succeeded. | attempts to rig the election through voter intimidation, last- minute election-law changes, and outright fraud have succeeded",negative
"sentiment | There are many Marthas here, people who marched to ZANU-PF anthems and cheered President Robert Mugabe at rallies, while secretly planning to vote for Mr. Tsvangirai. | cheered President Robert Mugabe at rallies, while secretly planning to vote for Mr. Tsvangirai",negative
"arguing | ""This is a crucial presidential election. | crucial",positive
"sentiment | ""The intention, of course, is that you frustrate as many voters as you can. | The intention, of course, is that you frustrate as many voters as you can",negative
"sentiment | ""I have made a difference."" | I have made a difference",positive
"arguing | Mugabe is trying to move the goal posts to disenfranchise people, these people he thinks will vote against him, ""said Tsvangirai, visiting one polling station where thousands waited angrily to cast their votes, waving their hands in the open-handed signal of the MDC. | thinks will vote against him",positive
sentiment | But he wanted to sound his voice. | wanted to,positive
"sentiment | ""I think this is the final nail on the government's coffin. | think this is the final nail on the government's coffin",positive
"sentiment | Lines were not a problem, but transparency was. | Lines were not a problem, but transparency was",negative
"arguing | ""This is not a fair election, ""he says. | This is not a fair election",negative
"sentiment | Mugabe is trying to move the goal posts to disenfranchise people, these people he thinks will vote against him, ""said Tsvangirai, visiting one polling station where thousands waited angrily to cast their votes, waving their hands in the open-handed signal of the MDC. | waving their hands in the open-handed signal of the MDC",positive
"intention | There are many Marthas here, people who marched to ZANU-PF anthems and cheered President Robert Mugabe at rallies, while secretly planning to vote for Mr. Tsvangirai. | secretly planning to",positive
"sentiment | ""I am happy because I finally got to vote, ""says a jubilant Colin Chipepera, after waiting for more than 12 hours in one Harare voting line. | am happy",positive
"arguing | ""I think this is the final nail on the government's coffin. | think this is the final nail on the government's coffin",positive
sentiment | An increasing number of local election monitors and international observers say the vote rigging has been so thorough that hopes for a free election are dead. | hopes for,positive
"sentiment | ""We just want someone who can give us food, hospitals, school fees. | just want",positive
"arguing | ""I wanted to go home, but I have to vote, ""she says. | but I have to vote",positive
"arguing | ""I have made a difference."" | I have made a difference",positive
sentiment | An increasing number of local election monitors and international observers say the vote rigging has been so thorough that hopes for a free election are dead. | vote rigging has been so thorough that hopes for a free election are dead,negative
"sentiment | The MDC says that 52 percent of its rural polling agents were chased away, abducted, or refused accreditation by government officials, leaving the voting process open to widespread abuse. | leaving the voting process open to widespread abuse",negative
"sentiment | ""I wanted to go home, but I have to vote, ""she says. | wanted",positive
"sentiment | ""You see this tarred road and this grass? | You see this tarred road and this grass",negative
"sentiment | A better life, ""says Martha, explaining why she voted for MDC candidate Morgan Tsvangirai. | A better life",positive
"sentiment | Tsvangirai, along with local and international observers, have cited widespread abuses in the electoral process. | have cited widespread abuses in",negative
"arguing | ""To put it mildly the figures are very odd, with very low turnouts in the cities and massives ones in the rural areas, which is unprecedented in this country, ""he said. | which is unprecedented in this country",positive
"arguing | LONDON: British Foreign Secretary Jack Straw said on Tuesday there was already ""pretty strong ""early evidence that President Robert Mugabe had ""stolen ""the election in Zimbabwe. | there was already ""pretty strong ""early evidence that President Robert Mugabe had ""stolen ""the election in Zimbabwe",positive
arguing | A group of independent local observers said the electoral process was neither free nor fair and could spark fresh violence in the southern African country. | was neither free nor fair,negative
"sentiment | LONDON: British Foreign Secretary Jack Straw said on Tuesday there was already ""pretty strong ""early evidence that President Robert Mugabe had ""stolen ""the election in Zimbabwe. | there was already ""pretty strong ""early evidence that President Robert Mugabe had ""stolen ""the election in Zimbabwe",negative
"sentiment | Counting in the election, in which Mugabe is battling for his political future against opposition candidate Morgan Tsvangirai after 22 years in power, began Tuesday amid complaints in Zimbabwe over the conduct of the vote. | complaints in Zimbabwe over",negative
"sentiment | Straw said there had been ""every sign ""of intimidation by Mugabe's Zanu-PF party up to the close of polls as well as many reports of irregularities since then, including shortage of polling booths in urban areas and harassment of opposition election agents in rural areas. | there had been ""every sign ""of intimidation by",negative
"arguing | ""If it becomes clear, and the evidence is already pretty strong, that President Mugabe, in the event he is declared the winner, has stolen the election, then that has enormous implications for the nature of our relationship with Zimbabwe, ""he warned. | is already pretty strong",positive
"sentiment | ""This is a terrible period, not only for Zimbabwe but for those who hold the course of democracy dear in Africa and elsewhere."" | hold the course of democracy dear",positive
"arguing | Straw said there had been ""every sign ""of intimidation by Mugabe's Zanu-PF party up to the close of polls as well as many reports of irregularities since then, including shortage of polling booths in urban areas and harassment of opposition election agents in rural areas. | there had been ""every sign ""of intimidation by",positive
sentiment | Investors and Western diplomats have said they might interpret Mbeki's support for Mugabe or the elections as a sign that Africa is not intent on revitalizing its economies through good government and expanded international trade. | might interpret Mbeki's support for Mugabe or the elections as a sign that Africa is not intent on revitalizing its economies through good government and expanded international trade,negative
"intention | Mugabe, 78, remained defiant, blaming racism for the criticism and pledging to accelerate his land-reform program, under which the country's most fertile land has been seized from white commercial farmers for redistribution to poor, landless blacks. | pledging to",positive
"sentiment | He told an audience assembled in the colonial-style State House mansion that his victory was a triumph against the West and whites who he said had aligned against him and his governing party, the Zimbabwe African National Union-Patriotic Front. | had aligned against",negative
"sentiment | Mugabe, 78, remained defiant, blaming racism for the criticism and pledging to accelerate his land-reform program, under which the country's most fertile land has been seized from white commercial farmers for redistribution to poor, landless blacks. | remained defiant",negative
"arguing | ""It is our people who decide, who must say so, not you, sirs and not the one person in 10 Downing St., Tony Blair, ""Mugabe said, referring to Britain's prime minister. | not you, sirs and not the one person in 10 Downing St., Tony Blair,",negative
"arguing | ""We have dealt a stunning blow to imperialism, ""he said. | have dealt a stunning blow to imperialism",positive
"sentiment | All said they were protesting an election they said had been tainted by months of political violence and intimidation, last-minute changes to electoral laws, and the disenfranchisement of tens of thousands of voters in Harare -- an opposition stronghold -- who failed to vote because the government reduced the number of polling stations. | had been tainted by months of political violence and intimidation, last-minute changes to electoral laws, and the disenfranchisement of tens of thousands of voters in Harare -- an opposition stronghold",negative
"arguing | ""It is our people who decide, who must say so, not you, sirs and not the one person in 10 Downing St., Tony Blair, ""Mugabe said, referring to Britain's prime minister. | It is our people who decide, who must say so",positive
arguing | Investors and Western diplomats have said they might interpret Mbeki's support for Mugabe or the elections as a sign that Africa is not intent on revitalizing its economies through good government and expanded international trade. | interpret Mbeki's support for Mugabe or the elections as a sign that Africa is not intent on revitalizing its economies through good government and expanded international trade,positive
"sentiment | ""Thanks to the people of Zimbabwe for loudly saying: Never again shall Zimbabwe be a colony, ""Mugabe said. | Thanks to the people of Zimbabwe for loudly saying: Never again shall Zimbabwe be a colony",positive
"sentiment | HARARE, Zimbabwe - President Robert Mugabe was sworn in Sunday for his fifth term in office following a bitterly fought election that the opposition and many Western governments denounced as rigged. | denounced as rigged",negative
"sentiment | Mugabe, 78, remained defiant, blaming racism for the criticism and pledging to accelerate his land-reform program, under which the country's most fertile land has been seized from white commercial farmers for redistribution to poor, landless blacks. | criticism",negative
sentiment | South African President Thabo Mbeki and Nigerian President Olusegun Obasanjo are pressing Mugabe to accept such an arrangement to avoid deepening international sanctions and suspension from the Commonwealth of Britain and its former colonies. | are pressing,positive
"sentiment | As the leader of the region's most robust economy and most respected democracy, many Western leaders are looking to Mbeki to denounce the results and provide some reassurance that the continent is committed to democratic principles and property rights. | denounce",negative
"arguing | While a South African observer mission has said the elections were ""legitimate, ""Mbeki has not yet commented on them. | were ""legitimate",positive
intention | Investors and Western diplomats have said they might interpret Mbeki's support for Mugabe or the elections as a sign that Africa is not intent on revitalizing its economies through good government and expanded international trade. | is not intent on,negative
sentiment | Investors and Western diplomats have said they might interpret Mbeki's support for Mugabe or the elections as a sign that Africa is not intent on revitalizing its economies through good government and expanded international trade. | support for,positive
"sentiment | But the 57 lawmakers from the opposition Movement for Democratic Change boycotted it, as did representatives from the United States, European Union countries, New Zealand and Canada. | boycotted",negative
"arguing | ""Thanks to the people of Zimbabwe for loudly saying: Never again shall Zimbabwe be a colony, ""Mugabe said. | Never again shall Zimbabwe be a colony",negative
"sentiment | Mugabe appealed to the nation and the opposition to reconcile to address the pressing economic needs, but fell short of proposing a government of national unity. | appealed to",positive
arguing | Mbeki and other African leaders need to press Mr. Mugabe to stop his repression and to not take farmland from whites without just compensation. | need to press Mr. Mugabe to stop his repression and to not take farmland from whites without just compensation,positive
arguing | Their endorsement of yet another type of diplomatic isolation of Zimbabwe shows solidarity with the West. | shows solidarity with the West,positive
sentiment | But now that he's cornered by the international community with many types of isolation - including opprobrium from two of his African peers - he has lashed out by charging opposition leader Morgan Tsvangirai with trying to kill him. | has lashed out,negative
"sentiment | Without the rule of law and fair elections in Africa, no amount of aid can help it. | Without the rule of law and fair elections in Africa, no amount of aid can help it",negative
sentiment | His stature in Africa and his stand on Zimbabwe's future bring hope for African economic renewal and greater democracy. | bring hope for African economic renewal and greater democracy,positive
sentiment | Their endorsement of yet another type of diplomatic isolation of Zimbabwe shows solidarity with the West. | endorsement of,positive
"sentiment | Africa's two richest and most powerful nations, South Africa and Nigeria, decided to punish Zimbabwe on Tuesday for a flawed presidential vote. | decided to punish",negative
sentiment | His stature in Africa and his stand on Zimbabwe's future bring hope for African economic renewal and greater democracy. | His stature in Africa and his stand on Zimbabwe's future bring hope for African economic renewal and greater democracy,positive
"arguing | Without the rule of law and fair elections in Africa, no amount of aid can help it. | Without the rule of law and fair elections in Africa, no amount of aid can help it",positive
"sentiment | Mr. Mbeki may still hope that, despite his joining the West in criticizing Zimbabwean leader Robert Mugabe, he can work with his troubled neighbor to prevent more violence, keep the economy from collapsing, and find some political compromise. | hope that",positive
"sentiment | This grand bargain to uplift the world's poorest continent would have been in jeopardy if Thabo Mbeki, south Africa's president, and Olusegun Obasanjo, Nigeria's president, had not agreed to suspend Zimbabwe from the 54-nation group of former British colonies known as the Commonwealth. | agreed to suspend Zimbabwe from the 54-nation group of former British colonies known as the Commonwealth",negative
sentiment | But now that he's cornered by the international community with many types of isolation - including opprobrium from two of his African peers - he has lashed out by charging opposition leader Morgan Tsvangirai with trying to kill him. | opprobrium from,negative
"agreement | This grand bargain to uplift the world's poorest continent would have been in jeopardy if Thabo Mbeki, south Africa's president, and Olusegun Obasanjo, Nigeria's president, had not agreed to suspend Zimbabwe from the 54-nation group of former British colonies known as the Commonwealth. | agreed to",positive
sentiment | All was not lost in Zimbabwe's rigged election last week. | rigged,negative
sentiment | But now that he's cornered by the international community with many types of isolation - including opprobrium from two of his African peers - he has lashed out by charging opposition leader Morgan Tsvangirai with trying to kill him. | charging opposition leader Morgan Tsvangirai with trying to kill him,negative
"arguing | This grand bargain to uplift the world's poorest continent would have been in jeopardy if Thabo Mbeki, south Africa's president, and Olusegun Obasanjo, Nigeria's president, had not agreed to suspend Zimbabwe from the 54-nation group of former British colonies known as the Commonwealth. | would have been in jeopardy if Thabo Mbeki, south Africa's president, and Olusegun Obasanjo, Nigeria's president, had not agreed to suspend Zimbabwe from the 54-nation group of former British colonies known as the Commonwealth",positive
"sentiment | Mr. Mbeki may still hope that, despite his joining the West in criticizing Zimbabwean leader Robert Mugabe, he can work with his troubled neighbor to prevent more violence, keep the economy from collapsing, and find some political compromise. | criticizing",negative
"sentiment | Their courageous stand will help renew a promise by leading industrialized nations to provide more aid, trade, and investment only if Africa shows better governance and democracy. | Their courageous stand",positive
sentiment | Such desperation by Mugabe should not be condoned by African leaders. | desperation by,negative
"sentiment | South Africa's leader, Mbeki, who has been inclined toward ""quiet diplomacy ""with Zimbabwe, has now made himself heard. | has been inclined toward",positive
arguing | Such desperation by Mugabe should not be condoned by African leaders. | should not be condoned by African leaders,negative
"intention | Their courageous stand will help renew a promise by leading industrialized nations to provide more aid, trade, and investment only if Africa shows better governance and democracy. | a promise by",positive
sentiment | Africa's Grand Bargain | Africa's Grand Bargain,positive
arguing | But now that he's cornered by the international community with many types of isolation - including opprobrium from two of his African peers - he has lashed out by charging opposition leader Morgan Tsvangirai with trying to kill him. | charging opposition leader Morgan Tsvangirai with trying to kill him,positive
"sentiment | Many of the continent's other governments found little fault with the way Mugabe ran the election, despite overwhelming evidence of voter intimidation and manipulation of polls. | found little fault with",positive
sentiment | All was not lost in Zimbabwe's rigged election last week. | All was not lost in,positive
"sentiment | Mr. Mbeki may still hope that, despite his joining the West in criticizing Zimbabwean leader Robert Mugabe, he can work with his troubled neighbor to prevent more violence, keep the economy from collapsing, and find some political compromise. | joining the West in criticizing",negative
"agreement | Zimbabwe's opposition says it will only join Mugabe in a unity government if he agrees to a new, better-run election. | agrees to",positive
sentiment | But now that he's cornered by the international community with many types of isolation - including opprobrium from two of his African peers - he has lashed out by charging opposition leader Morgan Tsvangirai with trying to kill him. | But now that he's cornered by the international community with many types of isolation - including opprobrium from two of his African peers - he has lashed out by charging opposition leader Morgan Tsvangirai with trying to kill him,negative
sentiment | Such desperation by Mugabe should not be condoned by African leaders. | should not be condoned by African leaders,negative
arguing | All was not lost in Zimbabwe's rigged election last week. | All was not lost in,negative
"agreement | The suspension validates ""our own refusal to accept the result as legitimate, ""said Welshman Ncube, secretary general for Tsvangirai's opposition Movement for Democratic Change. | refusal to accept",negative
"intention | The panel had been expected to defer or reject calls for Zimbabwe's suspension after Mbeki and Obasanjo held talks Monday with Mugabe and defeated opposition leader Morgan Tsvangirai, and apparently proposed to mediate in talks between the two sides. | proposed",positive
"arguing | Tsvangirai, who had been tipped to win a free and fair election, has said he would negotiate with a view to running a fresh election and ""restoring legitimacy ""but on Tuesday he ruled out any ""meaningful discussions ""unless Mugabe's government cracked down on violence. | had been tipped to win a free and fair election",positive
"sentiment | Washington is still mulling a response to the election and ""continuing its conversations with allied nations about what the proper response should be to the fraudulent election in Zimbabwe, ""said Ari Fleischer, spokesman for US President George W. Bush. | fraudulent",negative
"sentiment | A spokesman for British Prime Minister Tony Blair said: ""He clearly welcomes the decision by the Commonwealth troika and believes that it is absolutely the right thing to do."" | welcomes",positive
"sentiment | The surprise decision comes after the 54-nation group failed to reach agreement on sanctions against Harare before the voting, when African leaders rallied around the anti-colonialist Mugabe, who has held power since independence from Britain in 1980. | rallied around",positive
"sentiment | LONDON, March 19 (AFP) - The Commonwealth suspended Zimbabwe for one year on Tuesday, taking action against the regime of President Robert Mugabe a week after controversial elections returned him to power. | taking action against",negative
sentiment | New Zealand Foreign Affairs Minister Phil Goff welcomed the Commonwealth's suspension of Zimbabwe but said New Zealand was likely to impose sanctions anyway. | welcomed,positive
"arguing | The suspension validates ""our own refusal to accept the result as legitimate, ""said Welshman Ncube, secretary general for Tsvangirai's opposition Movement for Democratic Change. | validates ""our own refusal to accept the result as legitimate",positive
"sentiment | Goff said that while he welcomed the suspension, it appeared it had been done reluctantly. | welcomed",positive
"sentiment | The decision, taken by a three-way panel of Howard and presidents Thabo Mbeki of South Africa and Olusegun Obasanjo of Nigeria, follows a damning report on the March 9-11 vote by Commonwealth observers. | damning report",negative
"sentiment | The panel had been expected to defer or reject calls for Zimbabwe's suspension after Mbeki and Obasanjo held talks Monday with Mugabe and defeated opposition leader Morgan Tsvangirai, and apparently proposed to mediate in talks between the two sides. | calls for Zimbabwe's suspension",negative
"sentiment | The report concluded the poll had been marred by violence, intimidation and suspect electoral practices designed to benefit Mugabe, a conclusion also reached by the Zimbabwean opposition and much of the West. | had been marred by violence, intimidation and suspect electoral practices designed to benefit Mugabe",negative
"arguing | Foreign Secretary Jack Straw also praised the decision, saying that ""the message could not be clearer."" | could not be clearer",negative
"intention | In his inauguration speech on Sunday, Mugabe promised to accelerate his controversial land reforms begun in July 2000, which aim to resettle blacks on white-owned farms in a bid to reverse colonial-era injustices. | promised to",positive
"arguing | A spokesman for British Prime Minister Tony Blair said: ""He clearly welcomes the decision by the Commonwealth troika and believes that it is absolutely the right thing to do."" | believes that it is absolutely the right thing to do",positive
"intention | Tsvangirai had earlier suggested that ""Mbeki and Obasanjo are not going to allow that (suspension), they are going to present a position that the Zimbabweans are talking, so there may be a deferment of any action."" | are not going to",negative
"sentiment | Foreign Secretary Jack Straw also praised the decision, saying that ""the message could not be clearer."" | praised",positive
sentiment | The land reforms have been marred by political violence led by liberation war veterans who support Mugabe. | The land reforms have been marred by political violence led by,negative
"arguing | ""It is a bad report that can only lead to bad decisions, ""Moyo said, denouncing the report as ""opinionated ""and ""one-sided ""and saying it ""lacks credibility and cannot withstand any objective scrutiny."" | is a bad report that can only lead to bad decisions",positive
"arguing | ""To some extent we have the sense that this is a halfway house, ""he said. | To some extent we have the sense that this is a halfway house",positive
"sentiment | Most international observer groups have condemned the conduct of the poll, as have many Western governments, notably Britain and the United States. | have condemned",negative
"arguing | Tsvangirai had earlier suggested that ""Mbeki and Obasanjo are not going to allow that (suspension), they are going to present a position that the Zimbabweans are talking, so there may be a deferment of any action."" | are not going to allow that (suspension)",negative
"arguing | The report concluded the poll had been marred by violence, intimidation and suspect electoral practices designed to benefit Mugabe, a conclusion also reached by the Zimbabwean opposition and much of the West. | had been marred by violence, intimidation and suspect electoral practices designed to benefit Mugabe",positive
"sentiment | The panel had been expected to defer or reject calls for Zimbabwe's suspension after Mbeki and Obasanjo held talks Monday with Mugabe and defeated opposition leader Morgan Tsvangirai, and apparently proposed to mediate in talks between the two sides. | calls for",positive
"arguing | ""It is a bad report that can only lead to bad decisions, ""Moyo said, denouncing the report as ""opinionated ""and ""one-sided ""and saying it ""lacks credibility and cannot withstand any objective scrutiny."" | lacks credibility and cannot withstand any objective scrutiny",negative
"arguing | A spokesman for British Prime Minister Tony Blair said: ""He clearly welcomes the decision by the Commonwealth troika and believes that it is absolutely the right thing to do."" | clearly welcomes the decision by the Commonwealth troika and believes that it is absolutely the right thing to do",positive
"sentiment | ""It is a bad report that can only lead to bad decisions, ""Moyo said, denouncing the report as ""opinionated ""and ""one-sided ""and saying it ""lacks credibility and cannot withstand any objective scrutiny."" | denouncing the report as ""opinionated ""and ""one-sided",negative
"sentiment | The report concluded the poll had been marred by violence, intimidation and suspect electoral practices designed to benefit Mugabe, a conclusion also reached by the Zimbabwean opposition and much of the West. | intimidation",negative
"sentiment | ""It is a bad report that can only lead to bad decisions, ""Moyo said, denouncing the report as ""opinionated ""and ""one-sided ""and saying it ""lacks credibility and cannot withstand any objective scrutiny."" | is a bad report that can only lead to bad decisions",negative
"arguing | Goff said that while he welcomed the suspension, it appeared it had been done reluctantly. | appeared it had been done reluctantly",positive
"agreement | But at a summit in Australia earlier this month ahead of the election, Commonwealth leaders postponed action against Harare over its defiant stance on the presence of certain international observers to monitor the voting. | defiant stance on",negative
"agreement | The surprise decision comes after the 54-nation group failed to reach agreement on sanctions against Harare before the voting, when African leaders rallied around the anti-colonialist Mugabe, who has held power since independence from Britain in 1980. | failed to reach agreement",negative
"sentiment | The panel had been expected to defer or reject calls for Zimbabwe's suspension after Mbeki and Obasanjo held talks Monday with Mugabe and defeated opposition leader Morgan Tsvangirai, and apparently proposed to mediate in talks between the two sides. | defer or reject",negative
arguing | Critics of the land reforms say the measures have also aggravated a food shortage in Zimbabwe that threatens to worsen because of drought. | have also aggravated a food shortage in Zimbabwe that threatens to worsen because of drought,positive
sentiment | DURBAN March 19 Sapa SA OBSERVER: ZIM ELECTIONS NOT FREE AND FAIR | NOT FREE AND FAIR,negative
agreement | Other delegates in SAOM aligned themselves with the findings of the Southern African Development Community parliamentary forum that said the vote had not met SADC's norms and standards. | aligned themselves with,positive
"sentiment | The majority report, endorsed only by the ANC, said the observer mission had noted that over three million Zimbabweans had cast their votes and this substantially represented the will of the people. | endorsed",positive
"sentiment | Under these circumstances nobody can feel free."" | can feel free",positive
"sentiment | Bam on Sunday said she believed Zimbabwe's election was not free and fair, adding they were not in line with international standards as well as those of her organisation. | was not free and fair",negative
"arguing | SAOM on Monday stopped short of declaring the Zimbabwean presidential election free and fair, but the African National Congress majority on the committee declared the poll ""credible "". | credible",positive
"arguing | ""Personally I felt that one is going to be used here, but I nevertheless hoped the presence of outsiders in Zimbabwe would stop some illegal acts which may have been committed."" | felt that one is going to be used here",positive
"arguing | The United States, Britain, local Zimbabwean observers, and the Commonwealth observer team also described the poll as not free and fair. | not free and fair",negative
"sentiment | ""Personally I felt that one is going to be used here, but I nevertheless hoped the presence of outsiders in Zimbabwe would stop some illegal acts which may have been committed."" | some illegal acts which may have been committed",negative
"arguing | Under these circumstances nobody can feel free."" | nobody can feel free",negative
"arguing | Bam on Sunday said she believed Zimbabwe's election was not free and fair, adding they were not in line with international standards as well as those of her organisation. | believed Zimbabwe's election was not free and fair",negative
"sentiment | ""Even in the queues at polling centres there was a lot of fear and tension. | there was a lot of fear and tension",negative
sentiment | Other delegates in SAOM aligned themselves with the findings of the Southern African Development Community parliamentary forum that said the vote had not met SADC's norms and standards. | had not met SADC's norms and standards,negative
arguing | Other delegates in SAOM aligned themselves with the findings of the Southern African Development Community parliamentary forum that said the vote had not met SADC's norms and standards. | had not met SADC's norms and standards,negative
arguing | Another member of the South African Observer Mission to Zimbabwe says the past weekend's presidential election in the southern African country was not free and fair | was not free and fair,negative
sentiment | Methodist Bishop Purity Malinga on Tuesday echoed the sentiments of South Africa's Independent Electoral Commission (IEC) chairwoman Brigalia Bam that Zimbabwe election did not conform to international standards. | did not conform to international standards,negative
arguing | DURBAN March 19 Sapa SA OBSERVER: ZIM ELECTIONS NOT FREE AND FAIR | NOT FREE AND FAIR,negative
"agreement | The Inkatha Freedom Party, Democratic Alliance, New National Party, African Christian Democratic Party, the Pan Africanist Congress and the United Christian Democratic Party had disagreed with the ANC conclusion. | had disagreed with",negative
"sentiment | Even local observers could not enter these stations, ""she said. | Even local observers could not enter these stations",negative
"arguing | Bam on Sunday said she believed Zimbabwe's election was not free and fair, adding they were not in line with international standards as well as those of her organisation. | were not in line with international standards as well as those of her organisation",negative
